Song,Artist,Date,Song ID,Streams,Rank
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"1,321,075",1
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"1,293,092",2
Cuando Se Pone a Bailar,Rombai,2017-01-06,1MpKZi1zTXpERKwxmOu1PH,"942,751",3
Vente Pa' Ca (feat. Maluma),Ricky Martin,2017-01-06,7DM4BPaS7uofFul3ywMe46,"940,972",4
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-06,6rQSrBHf7HlZjtcMZ4S4bO,"822,844",5
Traicionera,Sebastian Yatra,2017-01-06,5J1c3M4EldCfNxXwrwt8mT,"768,957",6
Otra vez (feat. J Balvin),Zion & Lennox,2017-01-06,3QwBODjSEzelZyVjxPOHdq,"709,402",7
Shaky Shaky,Daddy Yankee,2017-01-06,58IL315gMSTD37DOZPJ2hf,"624,784",8
Dile Que Tu Me Quieres,Ozuna,2017-01-06,20ZAJdsKB5IGbGj4ilRt2o,"593,935",9
Me llamas (feat. Maluma) - Remix,Piso 21,2017-01-06,5hEM0JchdVzQ5PwvSfITeX,"589,663",10
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",2017-01-06,5mey7CLLuFToM2P68Qu1gF,"552,415",11
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"530,671",12
La Bicicleta,"Carlos Vives, Shakira",2017-01-06,0sXvAOmXgjR2QUqLK1MltU,"524,126",13
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",2017-01-06,1AkTW13ysu0AJrwuM6UY0I,"512,405",14
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"497,718",15
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"471,804",16
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",2017-01-06,6stYbAJgTszHAHZMPxWWCY,"459,786",17
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2017-01-06,0JoHqmlqE0W0i9prt6kcHR,"451,819",18
La Noche No Es para Dormir,Mano Arriba,2017-01-06,3gEebOzxHpEwElicl1XBy0,"445,651",19
Carnavalintro,CHANO,2017-01-06,0tGAPnTFwRJA6FZgYZ0BAe,"430,504",20
Borro Cassette,Maluma,2017-01-06,6DUdDIRgLqCGq1DwkNWQTN,"427,344",21
Vacaciones,Wisin,2017-01-06,3dQDid3IUNhZy1OehIfYfE,"419,940",22
Desde Esa Noche (feat. Maluma),Thalia,2017-01-06,1pWYnQIlqxTh5bxuPmTG4E,"416,168",23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"414,498",24
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"404,215",25
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"391,570",26
Manicomio,Cosculluela,2017-01-06,3n58u3LOFw8mITLvfPvQBz,"389,901",27
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"388,953",28
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"380,924",29
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2017-01-06,6YZdkObH88npeKrrkb8Ggf,"375,390",30
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"367,907",31
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",2017-01-06,3BY2mafsbsoKGqS380Xnuz,"366,819",32
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"365,231",33
Llamame Mas Temprano,Mano Arriba,2017-01-06,5aHJug2wnupoGfgfxRudsk,"337,640",34
La Bicicleta (feat. Maluma) - Remix,"Carlos Vives, Shakira",2017-01-06,7IRuf7FrdQvOGs0g9mSNGr,"333,390",35
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"324,574",36
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"314,864",37
Pasarla Bien,Marama,2017-01-06,0ZzVPCGdkpKcxAzMNDD5UZ,"312,483",38
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,2017-01-06,4vlbjBSMqycZk6t4HVRpnC,"308,129",39
Tu Ritmo,Los Bonnitos,2017-01-06,0BFgCEE7ozbyB1PpLpLyhM,"304,362",40
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"301,704",41
Traicionera - Remix,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",2017-01-06,2webQDZmtGioeu3zUUi9We,"299,447",42
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"288,384",43
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"280,779",44
La Gozadera (feat. Marc Anthony),Gente De Zona,2017-01-06,0OMRAvrtLWE2TvcXorRiB9,"279,036",45
Fuego,Juanes,2017-01-06,0mwPE0lPOgnWf2bo14xedJ,"277,565",46
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2017-01-06,2SSYqDX8KTgy01NlqtUo0F,"263,283",47
No Llores,LOAN,2017-01-06,07GOnZWIiHWjLzUsaTv5yO,"258,537",48
Bobo,J Balvin,2017-01-06,7AtlMCIauSQZqiXSlbBPW6,"258,537",49
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"258,519",50
Te Vas,Ozuna,2017-01-06,2twUPIYOTqVivev47pf7bU,"239,824",51
Chillax (feat. Ky-Mani Marley),Farruko,2017-01-06,1lxswgIpzV6HhENRvkflES,"238,780",52
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"230,205",53
Work,"Rihanna, Drake",2017-01-06,14WWzenpaEgQZlqPq2nk4v,"226,225",54
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"224,609",55
Me Ama Me Odia,"Ozuna, Cosculluela, Revol",2017-01-06,6041gM9Th1ViQcnzkIxnuv,"218,467",56
Sin Contrato (feat. Fifth Harmony),Maluma,2017-01-06,09S64DUkxIX9EwIaULu6yN,"218,059",57
Bailame Despacio,"Xantos, Dynell",2017-01-06,4OaTpLJIa2harufGxfOPUu,"214,519",58
Si me dices que sí (feat. Nicky Jam),Cosculluela,2017-01-06,3noN1TxpjbjjmKqssghvg8,"213,332",59
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",2017-01-06,2FrnTVSHjgnEylKGdHRUK1,"212,148",60
El Perdedor (feat. Yandel) - The Remix,Maluma,2017-01-06,4QsPTKvdpgkA7mBAvclZTa,"205,215",61
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"204,422",62
Hasta el Amanecer,Nicky Jam,2017-01-06,5Fim1gaXBgsiFfsQAfQSDS,"198,216",63
