Song,Artist,Date,Song ID,Streams,Rank
Deu Onda,MC G15,2017-01-06,0EPxmvsG1BY5td4aTOkWBF,"3,477,856",1
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"2,197,452",2
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"2,155,439",3
Loka,"Simone & Simaria, Anitta",2017-01-06,257tme6AhneIKAqVF1HTH4,"1,477,181",4
Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,2017-01-06,45wqPwIH4A5cr2IyyD4WKf,"1,462,182",5
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"1,433,243",6
Medo Bobo - Ao Vivo,Maiara & Maraisa,2017-01-06,2CW04trIoYMbroZWDzPAjs,"1,362,238",7
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"1,316,002",8
Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,2017-01-06,2d3TbSkAscvT3QRQalq6uT,"1,266,609",9
Meu Coração Deu PT - Ao Vivo,"Wesley Safadão, Matheus & Kauan",2017-01-06,6zCqeUUqLb2CapBmVwAHll,"1,199,990",10
10% - Ao Vivo,Maiara & Maraisa,2017-01-06,2wFnRPjuqwNySFiK0Qfg8L,"1,188,120",11
Sim ou não (participação especial Maluma),Anitta,2017-01-06,4FxumkF81ICxITeqxx4nK9,"1,147,723",12
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"1,139,152",13
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"1,115,103",14
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"1,094,642",15
Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,2017-01-06,0jIitZeIQRTaZgFQf2WpGK,"1,036,138",16
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"1,031,723",17
Infiel - Ao Vivo,Marília Mendonça,2017-01-06,38MpAndIjGAyVdcC6npX95,"1,005,035",18
"Eu, Você, O Mar e Ela",Luan Santana,2017-01-06,000xYdQfIZ4pDmBGzQalKU,"997,532",19
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"979,946",20
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"976,866",21
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"964,175",22
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"934,485",23
Paredes - Ao Vivo,Jorge & Mateus,2017-01-06,2GfxgssRHvY1azHtaRqKoK,"916,579",24
E Essa Boca Aí? - Ao Vivo,Bruninho & Davi,2017-01-06,6vve9WKW5I7fQzkU8dNsUE,"902,164",25
Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo,Henrique & Diego,2017-01-06,5SnQDj5REQVvAdSlhqkEcE,"901,130",26
50 Reais,"Naiara Azevedo, Maiara & Maraisa",2017-01-06,2DAGCHu5aoo2FOjmtU9ojo,"888,809",27
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"874,036",28
Como Faz Com Ela - Ao Vivo,Marília Mendonça,2017-01-06,2Gvn46nwyQhUnQiFhlP7WX,"866,818",29
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"845,902",30
O Nosso Santo Bateu - Na Praia / Ao Vivo,Matheus & Kauan,2017-01-06,6SwI4OplF8m5NH8wHKIps8,"841,172",31
Homem de Família - Ao Vivo,Gusttavo Lima,2017-01-06,12wiyBZqQ3mOU7AfygXJCw,"837,711",32
Como É Que a Gente Fica - Ao Vivo,Henrique & Juliano,2017-01-06,41mt7YrfLrIc4EQJZFCJtw,"834,913",33
Tumbalatum,MC Kevinho,2017-01-06,4aAq1afusFG6jRiOSHQZvN,"816,193",34
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"806,490",35
Olha a Explosão,MC Kevinho,2017-01-06,6m2LNopVJKsvBB9l7Z1rwn,"770,080",36
Ou Some Ou Soma - Ao Vivo,Jorge & Mateus,2017-01-06,3dRBzTOu9polrH9U6Vh2zw,"748,518",37
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"745,565",38
Louca de Saudade - Ao Vivo,Jorge & Mateus,2017-01-06,2InJDvDcA4RXEeA9njdibl,"731,899",39
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"731,389",40
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"729,858",41
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"724,210",42
Ela Só Quer Paz,Projota,2017-01-06,3mTUqLbtWm2DAEwvQTyu4d,"711,970",43
Sosseguei - Ao Vivo,Jorge & Mateus,2017-01-06,1xFgXCY8Zvo76gHg4RgUaU,"702,726",44
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"695,658",45
Sorry,Justin Bieber,2017-01-06,69bp2EbF7Q2rqc5N3ylezZ,"687,954",46
Na Hora da Raiva - Ao Vivo,Henrique & Juliano,2017-01-06,0Zu7NVn4IvfYuEIrD11UVr,"686,037",47
Pra Sempre Com Você - Ao Vivo,Jorge & Mateus,2017-01-06,2KGv51jgAz8OTjNPyRryfq,"664,278",48
A Rosa E O Beija-Flor - Na Praia / Ao Vivo,Matheus & Kauan,2017-01-06,4GQVVsUnMbZeKIx9vguKlg,"653,796",49
Malandramente,"DENNIS, MC Nandinho, Nego Bam",2017-01-06,7DRP2VOMpy1rrk3iYFLCW9,"639,102",50
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"623,177",51
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"598,649",52
Vou Voando - Ao Vivo,Jorge & Mateus,2017-01-06,1WCn5QBp0Kl9uHrR0J02GS,"570,379",53
Flor e o Beija-Flor - Ao Vivo,"Henrique & Juliano, Marília Mendonça",2017-01-06,0phVJ23NJlruwtt1XCm94N,"569,092",54
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"564,294",55
Nada Nada - Ao Vivo,Henrique & Juliano,2017-01-06,0GR7ZABhVF9GbxghIx2RRv,"554,019",56
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"546,205",57
Estaca Zero,"Luan Santana, Ivete Sangalo",2017-01-06,5OZqnhkGUxuSuW2P7CzH7y,"531,291",58
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"525,097",59
Our Way,"FTampa, Kamatos",2017-01-06,7hA7pMp2Vr1OCC4sWYwaMG,"517,604",60
Seu Polícia - Ao Vivo,Zé Neto & Cristiano,2017-01-06,7CmuLM2vfzA78iHeqastoP,"517,516",61
O Verão Está Chegando,Mc Davi,2017-01-06,4jswhbcaGqFe8v5uSHlqyb,"516,361",62
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2017-01-06,0tICYNayWWhH9GPeFrfjfD,"514,127",63
Partiu,MC Kekel,2017-01-06,1LTxGBL6yKtfmW3K8EvbSY,"505,088",64
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"500,742",65
Sou eu,Ludmilla,2017-01-06,1Tn0msQvQMbD6woO9VnEG3,"499,989",66
Você Merece Cachê - Ao Vivo,"Israel Novaes, Wesley Safadão",2017-01-06,1ypcU9264wnBwPvmrIy4fx,"498,034",67
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"491,746",68
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"491,733",69
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"491,667",70
Impasse - Ao Vivo,"Marília Mendonça, Henrique & Juliano",2017-01-06,5s2ydrmJOiPeZGx4S4X8Aw,"486,702",71
Regime Fechado - Ao Vivo,Simone & Simaria,2017-01-06,6UZJOc2HBrTp9DYfir9N8n,"486,300",72
Amei Te Ver,Tiago Iorc,2017-01-06,4owo0j5bw45IqiHxsTzcd6,"486,116",73
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"486,014",74
Work,"Rihanna, Drake",2017-01-06,14WWzenpaEgQZlqPq2nk4v,"482,566",75
Bumbum Granada,Mc's Zaac & Jerry Smith,2017-01-06,4SCH5CuivFcShLpTg8lYOf,"472,153",76
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"471,255",77
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"468,527",78
Que Sorte A Nossa - Live,Matheus & Kauan,2017-01-06,4rWCLK8mfQ6JpArmgIT8aK,"461,707",79
Bom,Ludmilla,2017-01-06,25SL3ZSbEGtu4oU14xllMQ,"460,095",80
Aquele 1% - Ao Vivo,"Marcos & Belutti, Wesley Safadão",2017-01-06,62LiYpeFoJaixqkaNRGg47,"458,687",81
Suíte 14 (feat. Mc Guimê) - Ao Vivo,"Henrique & Diego, MC Guime",2017-01-06,4lbPwb1Beo7JU2VwuJRTeR,"446,841",82
Stressed Out,Twenty One Pilots,2017-01-06,3CRDbSIZ4r5MsZ0YwxuEkn,"442,612",83
O Que Falta Em Você Sou Eu - Ao Vivo,Marília Mendonça,2017-01-06,3XSefjiSHsD34F7clH84xa,"440,691",84
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"428,076",85
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"426,605",86
Agora Eu Quero Ir,ANAVITÓRIA,2017-01-06,2yGnStdGP0V45lPXAJpmDb,"420,646",87
Parece Piada - Ao Vivo,Henrique & Juliano,2017-01-06,3cS6YsU197mrdPTyR7nbp7,"419,338",88
Fala a Verdade - Ao Vivo,"Maiara & Maraisa, Jorge & Mateus",2017-01-06,3QhJAGDdxt749dFveYVy4M,"416,531",89
Na Ponta Ela Fica,Delano,2017-01-06,1OtZIaJBXo3Pe6nfaMsjKT,"410,677",90
Nada Bom II,"Costa Gold, Luccas Carlos, Don L",2017-01-06,0Mh4id8WvrTFOB9RiVitrB,"408,742",91
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"405,897",92
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"403,381",93
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"403,068",94
Incerteza - Na Praia / Ao Vivo,Matheus & Kauan,2017-01-06,1FTsXXwai3jVXhBTLd4e4L,"400,314",95
Hymn for the Weekend - Seeb Remix,Coldplay,2017-01-06,1OAiWI2oPmglaOiv9fdioU,"397,713",96
Singular,ANAVITÓRIA,2017-01-06,3eGK0WFi6ISJ9UZA6Za4HX,"397,595",97
Fantasma,"Luan Santana, Marília Mendonça",2017-01-06,5Nw3HvX6k8cB7NjEkqJkij,"396,104",98
Cake By The Ocean,DNCE,2017-01-06,2aFiaMXmWsM3Vj72F9ksBl,"389,202",99
Quase um Casal - Ao Vivo,Maiara & Maraisa,2017-01-06,3BhctwMUY5Y9xmes194QTq,"387,432",100
That's My Girl,Fifth Harmony,2017-01-06,2ACOWPLUe4A4KuQ5ioD2od,"387,299",101
Send My Love (To Your New Lover),Adele,2017-01-06,4BHzQ9C00ceJxfG16AlNWb,"385,224",102
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"380,035",103
