Song,Artist,Date,Song ID,Streams,Rank
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"141,901",1
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"132,933",2
Otra vez (feat. J Balvin),Zion & Lennox,2017-01-06,3QwBODjSEzelZyVjxPOHdq,"120,481",3
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"112,325",4
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-06,6rQSrBHf7HlZjtcMZ4S4bO,"100,519",5
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"94,004",6
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"92,699",7
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"77,307",8
Chillax (feat. Ky-Mani Marley),Farruko,2017-01-06,1lxswgIpzV6HhENRvkflES,"76,256",9
Vente Pa' Ca (feat. Maluma),Ricky Martin,2017-01-06,7DM4BPaS7uofFul3ywMe46,"71,866",10
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"71,114",11
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"68,341",12
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"66,008",13
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"64,273",14
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"64,236",15
Traicionera,Sebastian Yatra,2017-01-06,5J1c3M4EldCfNxXwrwt8mT,"63,260",16
La Bicicleta,"Carlos Vives, Shakira",2017-01-06,0sXvAOmXgjR2QUqLK1MltU,"62,001",17
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"61,947",18
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"60,461",19
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"58,090",20
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"57,066",21
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"56,455",22
Fever,Vybz Kartel,2017-01-06,4C1Smq2t3MVOPzsUPWW0oX,"55,479",23
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"54,082",24
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"52,938",25
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",2017-01-06,6stYbAJgTszHAHZMPxWWCY,"51,834",26
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2017-01-06,0JoHqmlqE0W0i9prt6kcHR,"51,087",27
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"50,282",28
Shaky Shaky,Daddy Yankee,2017-01-06,58IL315gMSTD37DOZPJ2hf,"48,770",29
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"48,467",30
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",2017-01-06,5mey7CLLuFToM2P68Qu1gF,"47,272",31
Ride,Twenty One Pilots,2017-01-06,2Z8WuEywRWYTKe1NybPQEW,"46,553",32
Pa Que Me Invitan - Spanglish Version,"JENCARLOS, Charly Black",2017-01-06,2VRssqds7rRNb4eaG9FaY8,"46,159",33
Thinking out Loud,Ed Sheeran,2017-01-06,1Slwb6dOYkBlWal1PGtnNg,"44,357",34
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"43,690",35
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"43,471",36
Borro Cassette,Maluma,2017-01-06,6DUdDIRgLqCGq1DwkNWQTN,"43,405",37
Vacaciones,Wisin,2017-01-06,3dQDid3IUNhZy1OehIfYfE,"42,708",38
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"42,296",39
Gyal You A Party Animal,Charly Black,2017-01-06,1mSzZKMIPZIkn3jFV7v62b,"42,256",40
Stressed Out,Twenty One Pilots,2017-01-06,3CRDbSIZ4r5MsZ0YwxuEkn,"41,338",41
Cake By The Ocean,DNCE,2017-01-06,2aFiaMXmWsM3Vj72F9ksBl,"39,789",42
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"39,268",43
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"39,267",44
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2017-01-06,2SSYqDX8KTgy01NlqtUo0F,"38,739",45
Cheap Thrills (feat. Sean Paul),Sia,2017-01-06,378iszndTZAR4dH8kwsLC6,"37,934",46
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"37,036",47
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2017-01-06,6YZdkObH88npeKrrkb8Ggf,"36,535",48
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"36,295",49
Work,"Rihanna, Drake",2017-01-06,14WWzenpaEgQZlqPq2nk4v,"35,712",50
Bobo,J Balvin,2017-01-06,7AtlMCIauSQZqiXSlbBPW6,"32,598",51
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"30,011",52
La Gozadera (feat. Marc Anthony),Gente De Zona,2017-01-06,0OMRAvrtLWE2TvcXorRiB9,"28,837",53
Desde Esa Noche (feat. Maluma),Thalia,2017-01-06,1pWYnQIlqxTh5bxuPmTG4E,"28,147",54
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"27,755",55
Faded,Alan Walker,2017-01-06,7gHs73wELdeycvS48JfIos,"27,487",56
Hasta el Amanecer,Nicky Jam,2017-01-06,5Fim1gaXBgsiFfsQAfQSDS,"27,470",57
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"27,024",58
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"26,943",59
Panda,Desiigner,2017-01-06,5OOkp4U9P9oL23maHFHL1h,"26,594",60
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"26,577",61
Sorry,Justin Bieber,2017-01-06,69bp2EbF7Q2rqc5N3ylezZ,"26,143",62
Love Yourself,Justin Bieber,2017-01-06,3hB5DgAiMAQ4DzYbsMq1IT,"26,011",63
Ya Me Enteré,Reik,2017-01-06,0lPXFrKyl8HkdQ2E6NmNja,"25,188",64
The Greatest,Sia,2017-01-06,6bLopGnirdrilrpdVB6Um1,"24,610",65
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"24,377",66
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"24,370",67
"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto, Mambo Kingz, DJ Luian",2017-01-06,498YWgZPJWIA4lphXtCNma,"24,245",68
El chisme,Reykon,2017-01-06,4VXejnj5WgM6H72ct2fSgQ,"24,062",69
Me Rehúso,Danny Ocean,2017-01-06,6De0lHrwBfPfrhorm9q1Xl,"23,955",70
Me llamas (feat. Maluma) - Remix,Piso 21,2017-01-06,5hEM0JchdVzQ5PwvSfITeX,"23,431",71
Middle,"DJ Snake, Bipolar Sunshine",2017-01-06,4OZEu0Vwq0RB2LAq14v99n,"23,057",72
Lean On (feat. MØ & DJ Snake),Major Lazer,2017-01-06,4WjH9Bzt3kx7z8kl0awxh4,"22,996",73
My Dream,Nesbeth,2017-01-06,2E9WGQ8JcVF3FMHlqCuzLa,"22,919",74
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"22,634",75
7 Years,Lukas Graham,2017-01-06,7129iqBafaphfc3WPCGC0L,"22,618",76
LUV,Tory Lanez,2017-01-06,16Ah4QqH4mgYVXqfC4mdSd,"22,516",77
Bailame Despacio,"Xantos, Dynell",2017-01-06,4OaTpLJIa2harufGxfOPUu,"22,495",78
Deja Que Te Bese,"Alejandro Sanz, Marc Anthony",2017-01-06,0s6yB0ZFl1LvYHAnGhXFga,"22,472",79
Bruk Off Yuh Back,Konshens,2017-01-06,30mNHDOw7qD5SF8tBeuPpu,"22,344",80
Trumpets,"Sak Noel & Salvi, Sean Paul",2017-01-06,5dH7o4TP3HYLvCjo4QAhhv,"21,946",81
Bruk It Dung,Eshconinco,2017-01-06,7dxGZfWqbwSMxfNuNZR6TD,"21,805",82
Dile Que Tu Me Quieres,Ozuna,2017-01-06,20ZAJdsKB5IGbGj4ilRt2o,"21,794",83
Fuego,Juanes,2017-01-06,0mwPE0lPOgnWf2bo14xedJ,"21,631",84
Too Good,"Drake, Rihanna",2017-01-06,11KJSRSgaDxqydKYiD2Jew,"21,617",85
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"21,529",86
Sugar,Maroon 5,2017-01-06,494OU6M7NOf4ICYb4zWCf5,"21,382",87
No Money,Galantis,2017-01-06,0gb1J5UrTpzaU1s3nupgCd,"21,314",88
Hymn for the Weekend - Seeb Remix,Coldplay,2017-01-06,1OAiWI2oPmglaOiv9fdioU,"20,752",89
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",2017-01-06,3BY2mafsbsoKGqS380Xnuz,"20,746",90
Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",2017-01-06,3GpvoKKWZyTwgbLEM9RmWM,"20,330",91
Send My Love (To Your New Lover),Adele,2017-01-06,4BHzQ9C00ceJxfG16AlNWb,"20,180",92
Hello,Adele,2017-01-06,4sPmO7WMQUAf45kwMOtONw,"20,176",93
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"20,108",94
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",2017-01-06,1AkTW13ysu0AJrwuM6UY0I,"20,042",95
Bajito,"JENCARLOS, Ky-Mani Marley",2017-01-06,2q5VkfuJpCHJiFkMqNsenl,"19,954",96
Dueles,Jesse & Joy,2017-01-06,1iRvhKiXRElIH2Uf4gd95P,"19,905",97
Love Yuh Everything,Alkaline,2017-01-06,1HXM2hwghFTsbOA54isSP2,"19,880",98
Quiero Que Vuelvas,Alejandro Fernández,2017-01-06,2Zw7rSucHm0MIph9gmNiSn,"19,742",99
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"19,555",100
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2017-01-06,0tICYNayWWhH9GPeFrfjfD,"19,509",101
Bicycle Ride,Vybz Kartel,2017-01-06,5ITqNeFxofIOAzCYoc1xQq,"19,477",102
Stitches,Shawn Mendes,2017-01-06,1WP1r7fuvRqZRnUaTi2I1Q,"19,369",103
All of Me,John Legend,2017-01-06,2q6tgiA9tpb6DMguABwCWE,"19,265",104
Chandelier,Sia,2017-01-06,4VrWlk8IQxevMvERoX08iC,"19,223",105
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"19,015",106
The Scientist,Coldplay,2017-01-06,75JFxkI2RXiU7L9VXzMkle,"18,972",107
Baila Conmigo,"Juan Magán, Luciana",2017-01-06,772io14jrMTxGJbijtDccQ,"18,956",108
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2017-01-06,4dASQiO1Eoo3RJvt74FtXB,"18,659",109
Controlla,Drake,2017-01-06,6F609ICg9Spjrw1epsAnpa,"18,423",110
Ginza,J Balvin,2017-01-06,5N8nNuTmIzkZOfcxXlygUw,"18,213",111
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"18,145",112
De Pies A Cabeza,"Maná, Nicky Jam",2017-01-06,2CkHE54EH44Qj945ynQRw7,"17,984",113
Adventure of a Lifetime,Coldplay,2017-01-06,69uxyAqqPIsUyTO8txoP2M,"17,980",114
Million Reasons,Lady Gaga,2017-01-06,50PWlIBU7PlGGwzgN8TiFJ,"17,940",115
Obsesionado,Farruko,2017-01-06,5Jt4zdXTd9y1zxihiNYQI1,"17,799",116
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"17,604",117
Hotline Bling,Drake,2017-01-06,2FBUoWkIuQXwayw2RNo5l6,"17,409",118
Fast Car,"Jonas Blue, Dakota",2017-01-06,6OZh916QF8XNunWaP97WEZ,"17,402",119
Into You,Ariana Grande,2017-01-06,7yHEDfrJNd0zWOfXwydNH0,"17,148",120
Counting Stars,OneRepublic,2017-01-06,5edBgVtRD0fvWk140Sl21T,"17,022",121
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"16,871",122
What Do You Mean?,Justin Bieber,2017-01-06,3pzjHKrQSvXGHQ98dx18HI,"16,870",123
El Perdedor,Maluma,2017-01-06,1iEwyiSLAunPR6uouANE0O,"16,862",124
Let Her Go,Passenger,2017-01-06,2jyjhRf6DVbMPU5zxagN2h,"16,831",125
Hymn for the Weekend,Coldplay,2017-01-06,3RiPr603aXAoi4GHyXx0uy,"16,690",126
Flor Pálida,Marc Anthony,2017-01-06,47TyfLrGhYHHyyQWk64d0M,"16,606",127
Sweet Child O' Mine,Guns N' Roses,2017-01-06,7o2CTH4ctstm8TNelqjb51,"16,606",128
Encantadora,Yandel,2017-01-06,7LABrQFfRYcZUqUwng0Heb,"16,317",129
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"16,243",130
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"16,077",131
Tan Fácil,CNCO,2017-01-06,1TxgZRcy3kZ7JaEp88MDbC,"15,944",132
Encantadora (feat. Farruko & Zion & Lennox) - Remix,"Yandel, Egbert Rosa aka Haze",2017-01-06,0EpFfFZpCuqYFzHvxOtrZS,"15,678",133
Guapa,MAYKEL,2017-01-06,2TFk6az4XvctrRVDHKlhE1,"15,576",134
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"15,549",135
Unapologetic,Tanya Stephens,2017-01-06,4PymlxptfDiofHNvixDiRj,"15,542",136
Quisiera,CNCO,2017-01-06,4iPV0gcc8keTFl6qxqP73M,"15,410",137
El Perdón,"Nicky Jam, Enrique Iglesias",2017-01-06,7qCAVkHWZkF44OzOUKf8Cr,"15,329",138
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-06,4Km5HrUvYTaSUfiSGPJeQR,"15,303",139
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2017-01-06,7yyRTcZmCiyzzJlNzGC9Ol,"15,156",140
A Thousand Years,Christina Perri,2017-01-06,6lanRgr6wXibZr8KgzXxBl,"15,106",141
Ilegal,Cultura Profética,2017-01-06,2om3P5fecPpTjUJZfbFmZF,"15,039",142
