Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"1,588",1
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"1,489",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"1,357",3
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"1,099",4
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"1,040",5
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"1,022",6
Shape of You,Ed Sheeran,2017-01-13,7qiZfU4dY1lWllzX7mPBI3,"2,088",1
Chantaje (feat. Maluma),Shakira,2017-01-13,6mICuAdrwEjh6Y6lroV2Kg,"1,568",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-13,5knuzwU65gJK7IF5yJsuaW,"1,436",3
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,4aWmUDTfIPGksMNLV2rQP2,"1,230",4
Reggaetón Lento (Bailemos),CNCO,2017-01-13,3AEZUABDXNtecAOSC1qTfo,"1,179",5
Starboy,"The Weeknd, Daft Punk",2017-01-13,5aAx2yezTd8zXrkmtKl66Z,"1,174",6
Castle on the Hill,Ed Sheeran,2017-01-13,6PCUP3dWmTjcTtXY02oFdT,"1,144",7
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-20,4aWmUDTfIPGksMNLV2rQP2,"3,236",1
Shape of You,Ed Sheeran,2017-01-20,7qiZfU4dY1lWllzX7mPBI3,"2,307",2
Chantaje (feat. Maluma),Shakira,2017-01-20,6mICuAdrwEjh6Y6lroV2Kg,"1,777",3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-20,5knuzwU65gJK7IF5yJsuaW,"1,555",4
Reggaetón Lento (Bailemos),CNCO,2017-01-20,3AEZUABDXNtecAOSC1qTfo,"1,331",5
Starboy,"The Weeknd, Daft Punk",2017-01-20,5aAx2yezTd8zXrkmtKl66Z,"1,214",6
Paris,The Chainsmokers,2017-01-20,72jbDTw1piOOj770jWNeaG,"1,196",7
Castle on the Hill,Ed Sheeran,2017-01-20,6PCUP3dWmTjcTtXY02oFdT,"1,195",8
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-20,6rQSrBHf7HlZjtcMZ4S4bO,"1,073",9
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-20,3NdDpSvN911VPGivFlV5d0,"1,069",10
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-27,4aWmUDTfIPGksMNLV2rQP2,"4,466",1
Shape of You,Ed Sheeran,2017-01-27,7qiZfU4dY1lWllzX7mPBI3,"2,620",2
Chantaje (feat. Maluma),Shakira,2017-01-27,6mICuAdrwEjh6Y6lroV2Kg,"1,774",3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-27,5knuzwU65gJK7IF5yJsuaW,"1,596",4
Reggaetón Lento (Bailemos),CNCO,2017-01-27,3AEZUABDXNtecAOSC1qTfo,"1,388",5
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-27,3NdDpSvN911VPGivFlV5d0,"1,285",6
Paris,The Chainsmokers,2017-01-27,72jbDTw1piOOj770jWNeaG,"1,165",7
Castle on the Hill,Ed Sheeran,2017-01-27,6PCUP3dWmTjcTtXY02oFdT,"1,162",8
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-02-03,4aWmUDTfIPGksMNLV2rQP2,"4,552",1
Shape of You,Ed Sheeran,2017-02-03,7qiZfU4dY1lWllzX7mPBI3,"2,661",2
Chantaje (feat. Maluma),Shakira,2017-02-03,6mICuAdrwEjh6Y6lroV2Kg,"1,803",3
Reggaetón Lento (Bailemos),CNCO,2017-02-03,3AEZUABDXNtecAOSC1qTfo,"1,555",4
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-02-03,5knuzwU65gJK7IF5yJsuaW,"1,532",5
Paris,The Chainsmokers,2017-02-03,72jbDTw1piOOj770jWNeaG,"1,311",6
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-02-03,3NdDpSvN911VPGivFlV5d0,"1,296",7
Castle on the Hill,Ed Sheeran,2017-02-03,6PCUP3dWmTjcTtXY02oFdT,"1,202",8
El Amante,Nicky Jam,2017-02-03,3umS4y3uQDkqekNjVpiRUs,"1,079",9
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-02-03,6rQSrBHf7HlZjtcMZ4S4bO,"1,021",10
