Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"168,770",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"141,685",2
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"110,148",3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"106,651",4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"95,526",5
Bad Ideas,Alle Farben,2017-01-06,76gwG061wqdatYhicO2hG4,"86,522",6
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"85,195",7
Chöre,Mark Forster,2017-01-06,2nYpbaLykC2cjU8Yt5KF1v,"80,158",8
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"79,655",9
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"77,358",10
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"73,782",11
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"72,707",12
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"71,394",13
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"67,698",14
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"63,665",15
Lot to Learn,Luke Christopher,2017-01-06,3TRFq09DUgYj1mug6RRqJW,"62,536",16
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"61,012",17
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"60,882",18
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"60,323",19
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"59,699",20
No Lie,"Sean Paul, Dua Lipa",2017-01-06,3cFsmM51N5zMAuu1nNY4Tw,"54,347",21
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",2017-01-06,4PdJSsESm34djLfBde9Pr2,"51,421",22
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"51,292",23
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"51,217",24
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"51,065",25
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"49,578",26
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"48,651",27
Never Give Up,Sia,2017-01-06,1ssmjAYSU5PbmsjLq5yrNH,"48,219",28
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"47,213",29
Dye My Hair,ALMA,2017-01-06,5NafFxaLg9Ep21oTHBw7Zq,"46,745",30
