Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"323,404",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"209,540",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"162,856",3
Hey Baby (feat. Deb's Daughter),"Dimitri Vegas & Like Mike, Diplo, Deb’s Daughter",2017-01-06,3oUZXcz9WLNO71yHAumFbH,"158,398",4
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"149,098",5
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"135,445",6
What Is Love 2016,Lost Frequencies,2017-01-06,5hIR7SX1fSrr5evIAPDY5o,"135,210",7
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"128,747",8
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"126,060",9
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"125,750",10
Until the End (feat. Raphaella),Henri PFR,2017-01-06,61VEcQZQZUF4o7QgXsOFjB,"124,594",11
Ziet Em Duun,Van Echelpoel,2017-01-06,6WBPdOrzwCo3AXg2kGGD7x,"120,245",12
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"106,729",13
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"102,278",14
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"102,247",15
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"94,619",16
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"93,689",17
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"87,919",18
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"86,346",19
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"84,845",20
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"82,258",21
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"82,154",22
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"82,117",23
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"82,103",24
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"81,921",25
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"80,163",26
Sexual,"NEIKED, Dyo",2017-01-06,3AsAuGTaDQzavZZThyYlop,"78,029",27
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"73,779",28
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"72,346",29
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"70,631",30
All Night,"The Vamps, Matoma",2017-01-06,1yNyoWWWikbLhwIGWjZuDW,"69,765",31
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"69,585",32
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"69,456",33
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"67,325",34
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"66,837",35
Sunset Lover,Petit Biscuit,2017-01-06,0hNduWmlWmEmuwEFcYvRu1,"66,768",36
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"66,035",37
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"65,371",38
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"64,711",39
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"63,057",40
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"62,940",41
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"62,491",42
Ziet Em Duun - Regi & Lester Williams Remix,Van Echelpoel,2017-01-06,5rRGbD1s7gQWnWwn0O3no2,"62,314",43
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"61,414",44
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"61,413",45
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"60,915",46
Lot to Learn,Luke Christopher,2017-01-06,3TRFq09DUgYj1mug6RRqJW,"57,624",47
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"55,078",48
Afraid,Curtis Alto,2017-01-06,2ey5jG9boqrojvpZC3SGVR,"54,696",49
Hey Baby - Mattn vs. Regi Remix,"Dimitri Vegas & Like Mike, Diplo, Deb’s Daughter",2017-01-06,2q7vWE2hIS1Kj3ShkcKkIS,"50,929",50
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"50,298",51
If You Believe,"D5R, Maureen",2017-01-06,4FbcVWgOjljdetmSqzM7NN,"46,903",52
Thinking out Loud,Ed Sheeran,2017-01-06,1Slwb6dOYkBlWal1PGtnNg,"44,025",53
All Time Low,Jon Bellion,2017-01-06,1CnPYaKxTVb4LWOtiGOm0m,"43,529",54
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"42,690",55
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"41,301",56
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"40,354",57
Water Under the Bridge,Adele,2017-01-06,4vb4mFvYsr2h6enhjJsq9Y,"39,285",58
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-06,4Km5HrUvYTaSUfiSGPJeQR,"39,025",59
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"36,873",60
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"36,572",61
Weak,AJR,2017-01-06,3E2Zh20GDCR9B1EYjfXWyv,"36,488",62
Goud,Bazart,2017-01-06,5J59VOgvclrhLDYUoH5OaW,"35,815",63
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"35,203",64
Way down We Go,KALEO,2017-01-06,0y1QJc3SJVPKJ1OvFmFqe6,"34,697",65
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"34,594",66
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"34,592",67
The Ocean (feat. Shy Martin),Mike Perry,2017-01-06,2CPqh63wRVscbceKcPxwvv,"34,377",68
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2017-01-06,7yyRTcZmCiyzzJlNzGC9Ol,"34,332",69
I Got You,Bebe Rexha,2017-01-06,1FUViuNSldssMIawrOXF2i,"33,844",70
