Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"1,292,746",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"775,541",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"498,324",3
Helwa,Gilli,2017-01-06,7uXAWHUWb9XiR7tXoLw4uD,"488,241",4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"466,708",5
Ked Af Det,Gulddreng,2017-01-06,2rt7ngjBKXKufIVz2xmVMd,"464,798",6
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"444,711",7
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"442,501",8
KranAlarm,"Jesu Brødre, ADHD",2017-01-06,6nCNkAMUW0zmJfcN0dbx92,"407,594",9
Giv Mig Noget,Jimilian,2017-01-06,4mpF85WbMQXxo9RKObQsv8,"404,142",10
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"403,344",11
Pakker Bar,NODE,2017-01-06,6hJRDlsnRK5o53tbhNC9VU,"398,171",12
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"380,573",13
Ik' Min Skyld,Blak,2017-01-06,5XGu9XtnsuhAkhdWbjunr2,"318,417",14
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"312,955",15
Don't Leave,"Snakehips, MØ",2017-01-06,0Zx8khUcEfCFK2AEoIhC92,"308,928",16
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"308,495",17
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"304,281",18
Hun Blev Bare Så Glad,Suspekt,2017-01-06,6dqW9qUD0gS3w8gdo1A6k2,"303,487",19
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"291,418",20
For Evigt Ung,Sleiman,2017-01-06,71QQob1CUAwvN4pfC7jkLM,"290,001",21
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"280,402",22
Free Fall,Christopher,2017-01-06,2JvvlqBlCD1NWyWJ8pBsed,"276,007",23
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"273,973",24
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"272,285",25
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"265,839",26
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"264,208",27
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"258,663",28
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"244,132",29
Dancing On My Own,Calum Scott,2017-01-06,02WacdrRpm4zlP8H7X6bnQ,"236,317",30
Sexual,"NEIKED, Dyo",2017-01-06,3AsAuGTaDQzavZZThyYlop,"233,761",31
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"228,883",32
Let Me Love You (feat. Chris Crone),SJUR,2017-01-06,2jfCy43LsFbCQoB6HyetlY,"228,579",33
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"224,013",34
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"220,799",35
Nemt,Gulddreng,2017-01-06,6q6rXNIA69aPAACcZMaU1I,"217,414",36
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"213,636",37
Make Me (Cry),"Noah Cyrus, Labrinth",2017-01-06,2BrzlUj1u1CtvaJDGIKpsP,"209,628",38
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"209,040",39
