Song,Artist,Date,Song ID,Streams,Rank
Soy Peor,Bad Bunny,2017-01-06,5MT96Zz0ymUJNm8obKZQr0,"65,570",1
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"55,879",2
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcangel, Bad Bunny",2017-01-06,6NSMQFKgjpQb0KkjMDYIK0,"49,180",3
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",2017-01-06,2FrnTVSHjgnEylKGdHRUK1,"48,072",4
Otra vez (feat. J Balvin),Zion & Lennox,2017-01-06,3QwBODjSEzelZyVjxPOHdq,"45,875",5
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"44,019",6
Dile Que Tu Me Quieres,Ozuna,2017-01-06,20ZAJdsKB5IGbGj4ilRt2o,"43,728",7
Dema Ga Ge Gi Go Gu,"El Alfa, Bad Bunny",2017-01-06,3T0h2tXX3mQh14mse20s6M,"43,716",8
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,2017-01-06,5q2JbCNi4FcnglgPfxcV65,"42,268",9
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-06,6rQSrBHf7HlZjtcMZ4S4bO,"39,876",10
Me Llamas,"Arcangel, Mark B., De La Ghetto, Bad Bunny, Amenazzy",2017-01-06,3LgtCt7CVhMvNSMGoQD9i1,"36,427",11
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"36,222",12
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2017-01-06,0JoHqmlqE0W0i9prt6kcHR,"34,906",13
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"34,191",14
Me Ama Me Odia,"Ozuna, Cosculluela, Revol",2017-01-06,6041gM9Th1ViQcnzkIxnuv,"33,633",15
Chillax (feat. Ky-Mani Marley),Farruko,2017-01-06,1lxswgIpzV6HhENRvkflES,"32,709",16
Caile (feat. Zion & De La Ghetto),"Revol, Bad Bunny, Bryant Myers",2017-01-06,626rYyBfeAeleh1F5t4B70,"32,491",17
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"32,113",18
Privado,"Rvssian, Nicky Jam, Farruko, Arcangel, Konshens",2017-01-06,11zRKpjEZwmcBBBGzB4pMn,"32,060",19
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"31,162",20
Vente Pa' Ca (feat. Maluma),Ricky Martin,2017-01-06,7DM4BPaS7uofFul3ywMe46,"29,789",21
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"28,429",22
Corazon De Seda (feat. Ozuna),Klasico,2017-01-06,0uRHot8ml8U8cYVwwzMwNT,"27,943",23
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"27,813",24
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,2017-01-06,4vlbjBSMqycZk6t4HVRpnC,"27,764",25
En La Intimidad,Ozuna,2017-01-06,0QetVR4wwvyiTezQeFNdeZ,"26,238",26
Sola,Anuel AA,2017-01-06,4Zke60QJMlW60qnXmYLdC8,"25,804",27
Si Tu Cama Hablara,"Lenny Tavárez, Cosculluela",2017-01-06,5H18gT3kawrbg83mO0MzVd,"25,747",28
Te Vas,Ozuna,2017-01-06,2twUPIYOTqVivev47pf7bU,"25,272",29
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"24,914",30
Pa Ti,"Bad Bunny, Bryant Myers",2017-01-06,17nOaHsTn06jxuU9NpHuFU,"24,753",31
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"24,443",32
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"23,934",33
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"23,793",34
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",2017-01-06,6stYbAJgTszHAHZMPxWWCY,"23,131",35
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",2017-01-06,5mey7CLLuFToM2P68Qu1gF,"22,488",36
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"22,455",37
La Bicicleta,"Carlos Vives, Shakira",2017-01-06,0sXvAOmXgjR2QUqLK1MltU,"21,150",38
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"21,064",39
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"20,726",40
