Song,Artist,Date,Song ID,Streams,Rank
Without Me,Halsey,2018-11-16,5p7ujcrUXASCNwRaWNHR1C,"12,934",1
"thank u, next",Ariana Grande,2018-11-16,2rPE9A1vEgShuZxxzR2tZH,"10,947",2
Bayen Habeit,"Marshmello, Amr Diab",2018-11-16,29KS7kBSU77PrYGB6RVR5O,"8,518",3
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-11-16,4w8niZpiMy6qz1mntFA5uM,"8,202",4
Bad Liar,Imagine Dragons,2018-11-16,2RSHsoi04658QL5xgQVov3,"8,119",5
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2018-11-16,2LskIZrCeLxRvCiGP8gxlh,"7,556",6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-11-16,1A6OTy97kk0mMdm78rHsm8,"7,372",7
Happier,"Marshmello, Bastille",2018-11-16,2dpaYNEQHiRxtZbfNsse99,"6,722",8
when the party's over,Billie Eilish,2018-11-16,14JzyD6FlBD5z0wV5P07YI,"6,437",9
Ruin My Life,Zara Larsson,2018-11-16,5tAa8Uaqr4VvA3693mbIhU,"6,417",10
نساى,Sherine,2018-11-16,2AVA6NJZXA7UERS5nnsTzz,"6,192",11
SICKO MODE,Travis Scott,2018-11-16,2xLMifQCjDGFmkHkpNLD9h,"6,113",12
Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-11-16,13hvHEstJ4sNbzdroPrPI3,"5,939",13
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-16,222B3aljXx6fFwKmFjuBED,"5,710",14
BAD!,XXXTENTACION,2018-11-16,4CH66Rxcjcj3VBHwmIBj4T,"5,676",15
Natural,Imagine Dragons,2018-11-16,2FY7b99s15jUprqC0M5NCT,"5,584",16
حبه جنة,Sherine,2018-11-16,2QK9spxKFUWe7zeirPHf5O,"5,347",17
Helm Seneen,Tamer Hosny,2018-11-16,3w5hsQKiCx2rGXxj25K8ER,"5,308",18
Happy Now,"Kygo, Sandro Cavazza",2018-11-16,14sOS5L36385FJ3OL8hew4,"5,294",19
Better,Khalid,2018-11-16,6zeeWid2sgw4lap2jV61PZ,"5,281",20
Nasseeny Leih,Tamer Hosny,2018-11-16,6EyveOpETSJBcdQgVCMSL5,"5,073",21
Beach House,The Chainsmokers,2018-11-16,0N8MGHEDAq29ip7RrlrTeN,"5,002",22
Believer,Imagine Dragons,2018-11-16,0pqnGHJpmpxLKifKRmU6WP,"4,966",23
الكدابين,Sherine,2018-11-16,6OvHZA4I4Nl1F0Brs8nPkR,"4,909",24
7elm B3eed,Mahmoud El Esseily,2018-11-16,4t3BgID893bIAXxcCdux4y,"4,851",25
rockstar (feat. 21 Savage),Post Malone,2018-11-16,0e7ipj03S05BNilyu5bRzt,"4,813",26
Girls Like You (feat. Cardi B),Maroon 5,2018-11-16,7fa9MBXhVfQ8P8Df9OEbD8,"4,312",27
SAD!,XXXTENTACION,2018-11-16,3ee8Jmje8o58CHK66QrVC2,"4,258",28
lovely (with Khalid),Billie Eilish,2018-11-16,0u2P5u6lvoDfwTYjAADbn4,"4,241",29
Havana (feat. Young Thug),Camila Cabello,2018-11-16,1rfofaqEpACxVEHIZBJe6W,"4,240",30
Venom - Music From The Motion Picture,Eminem,2018-11-16,2SL6oP2YAEQbqsrkOzRGO4,"4,234",31
Shallow,"Lady Gaga, Bradley Cooper",2018-11-16,2VxeLyX666F8uXCJ0dZF8B,"4,194",32
IDGAF,Dua Lipa,2018-11-16,76cy1WJvNGJTj78UqeA5zr,"4,095",33
Thunder,Imagine Dragons,2018-11-16,1zB4vmk8tFRmM9UULNzbLB,"4,094",34
MIA (feat. Drake),Bad Bunny,2018-11-16,116H0KvKr2Zl4RPuVBruDO,"4,035",35
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-11-16,7l3E7lcozEodtVsSTCkcaA,"4,023",36
Bohemian Rhapsody - Remastered 2011,Queen,2018-11-16,7tFiyTwD0nx5a1eklYtX2J,"3,915",37
Sweet but Psycho,Ava Max,2018-11-16,25sgk305KZfyuqVBQIahim,"3,883",38
Be Alright,Dean Lewis,2018-11-16,3EPXxR3ImUwfayaurPi3cm,"3,792",39
Eastside (with Halsey & Khalid),benny blanco,2018-11-16,0d2iYfpKoM0QCKvcLCkBao,"3,755",40
We Akheeran,Tamer Hosny,2018-11-16,4joVFoiSsaXPYo5ef4SFI3,"3,751",41
Thunderclouds,"Sia, Diplo, Labrinth, LSD",2018-11-16,2c7GlMNmF7pbohjykutmLP,"3,609",42
Aghla Men Al Yaqout,Ahmed Mekky,2018-11-16,2BPCeosLLWCMVKfZn3hZzF,"3,568",43
Moonlight,XXXTENTACION,2018-11-16,0JP9xo3adEtGSdUEISiszL,"3,462",44
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2018-11-16,5JEx7HbmvHQQswJCsoo9rA,"3,458",45
New Rules,Dua Lipa,2018-11-16,2xJCMIJfcNYDc5iR0sAm2O,"3,416",46
بحبك من زمان,Sherine,2018-11-16,3ZSch1osGSHoo0QnVFOqhg,"3,336",47
Zamba,"Sharmoofers, Sary Hany",2018-11-16,26P9qTdDOwUa9LqkYWiJwW,"3,317",48
Lucky You (feat. Joyner Lucas),Eminem,2018-11-16,60SdxE8apGAxMiRrpbmLY0,"3,226",49
Kadab,Yasmine Niazy,2018-11-16,3TP9BNPB4e8XIJdxufL0zj,"3,220",50
Let You Love Me,Rita Ora,2018-11-16,6xtcFXSo8H9BZN637BMVKS,"3,208",51
Alby Etmannah,Amr Diab,2018-11-16,2G8hCbEMe4WoOhtw2EKJd5,"3,187",52
No Candle No Light (feat. Nicki Minaj),ZAYN,2018-11-16,49ATdDBSasXb6wsHdrB2xQ,"3,146",53
