Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"155,086",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"105,731",2
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"87,996",3
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"86,848",4
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"84,699",5
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"70,120",6
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"68,570",7
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"67,240",8
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"63,547",9
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"62,260",10
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"60,283",11
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"57,834",12
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"56,348",13
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"55,541",14
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"55,441",15
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"54,227",16
經過一些秋與冬,Dear Jane,2017-01-06,4pw59ml6lY3WnP90tfyDGP,"52,065",17
分手總約在雨天,Charmaine Fong,2017-01-06,4F58voptx3uo1bNiJ6i1P9,"51,896",18
"沒有你, 我甚麼都不是",Jason Chan,2017-01-06,1zlUxL11eVVjPSPSI7tIjQ,"50,223",19
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"47,972",20
哪裡只得我共你,Dear Jane,2017-01-06,6oHNXUrt4s5JJIM1WoOwsZ,"47,484",21
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"47,463",22
Faded,Alan Walker,2017-01-06,7gHs73wELdeycvS48JfIos,"47,016",23
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"46,264",24
All Night,"The Vamps, Matoma",2017-01-06,1yNyoWWWikbLhwIGWjZuDW,"44,443",25
風箏,Supper Moment,2017-01-06,6NBREJ4ZZX9sOOMw2OO8Nv,"44,046",26
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"43,100",27
