Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"446,391",1
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"423,624",2
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"365,768",3
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"329,760",4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"310,224",5
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"309,066",6
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"301,538",7
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"294,755",8
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"286,072",9
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"278,528",10
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"262,560",11
Versace on the Floor,Bruno Mars,2017-01-06,0kN8xEmgMW9mh7UmDYHlJP,"250,164",12
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"249,042",13
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"248,894",14
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"241,727",15
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"231,737",16
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"230,550",17
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"224,585",18
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"215,250",19
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"211,244",20
