Song,Artist,Date,Song ID,Streams,Rank
God's Plan,Drake,2018-03-09,2XW4DbS6NddZxRPm5rMCeY,"24,431",1
IDGAF,Dua Lipa,2018-03-09,76cy1WJvNGJTj78UqeA5zr,"18,806",2
שני משוגעים,Omer Adam,2018-03-09,1EbUjcgx4c1tLHdqC6eHJd,"16,933",3
FRIENDS,"Marshmello, Anne-Marie",2018-03-09,08bNPGLD8AhKpnnERrAc6G,"14,550",4
Ulay Nedaber,Nadav Guedj,2018-03-09,4wt1jIFzgeRnWpj8iKWeZf,"14,405",5
All The Stars (with SZA),Kendrick Lamar,2018-03-09,3GCdLUSnKSMJhs4Tj6CV3s,"13,966",6
rockstar,"Post Malone, 21 Savage",2018-03-09,2U7Hu2RaNQNRi7izoJyZaX,"13,599",7
Psycho (feat. Ty Dolla $ign),Post Malone,2018-03-09,65NwOZqoXny4JxqAPlfxRF,"12,726",8
Look Alive (feat. Drake),BlocBoy JB,2018-03-09,4qKcDkK6siZ7Jp1Jb4m0aL,"12,142",9
Love Lies (with Normani),Khalid,2018-03-09,45Egmo7icyopuzJN0oMEdk,"10,742",10
Say Something (feat. Chris Stapleton),Justin Timberlake,2018-03-09,1LhMopPAallLeaeNutqbgS,"10,194",11
The Middle,"Zedd, Maren Morris, Grey",2018-03-09,2ARqIya5NAuvFVHSN3bL0m,"10,145",12
Havana (feat. Young Thug),Camila Cabello,2018-03-09,1rfofaqEpACxVEHIZBJe6W,"9,958",13
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-03-09,5CLGzJsGqhCEECcpnFQA8x,"8,746",14
Everyday,"Logic, Marshmello",2018-03-09,4EAV2cKiqKP5UPZmY6dejk,"7,967",15
תל אביב בלילה,Eden Ben Zaken,2018-03-09,1Avfnh3rkyiAnOaMTiqi5m,"7,963",16
New Rules,Dua Lipa,2018-03-09,2ekn2ttSfGqwhhate0LSR0,"7,885",17
River (feat. Ed Sheeran),Eminem,2018-03-09,5UEnHoDYpsxlfzWLZIc7LD,"7,776",18
Feel It Still,Portugal. The Man,2018-03-09,6QgjcU0zLnzq5OrUoSZ3OK,"7,596",19
Pray For Me (with Kendrick Lamar),The Weeknd,2018-03-09,4ofvoCdXq99vpMZO4Cfp8x,"7,502",20
שתשרף האהבה,Itay Levi,2018-03-09,22okrfIxCwkdvI0wal1BcK,"7,271",21
Like I Do,"David Guetta, Martin Garrix, Brooks",2018-03-09,6RnkFd8Fqqgk1Uni8RgqCQ,"7,171",22
Mine,Bazzi,2018-03-09,6tHWl8ows5JOZq9Yfaqn3M,"7,032",23
Finesse - Remix; feat. Cardi B,Bruno Mars,2018-03-09,3Vo4wInECJQuz9BIBMOu8i,"6,766",24
Never Be the Same,Camila Cabello,2018-03-09,4eWQlBRaTjPPUlzacqEeoQ,"6,710",25
Silence,"Marshmello, Khalid",2018-03-09,7vGuf3Y35N4wmASOKLUVVU,"6,692",26
Thunder,Imagine Dragons,2018-03-09,26gceVsA1ybT8qsX3aYLEn,"6,673",27
Believer,Imagine Dragons,2018-03-09,7Izh7zLJGw1Nscd62Exxj4,"6,648",28
Perfect,Ed Sheeran,2018-03-09,0tgVpDi06FyKpA1z0VMD4v,"6,532",29
Strangers,Sigrid,2018-03-09,3fJaqjV813edLN5wrxUPkc,"6,365",30
Symphony (feat. Zara Larsson),Clean Bandit,2018-03-09,1x5sYLZiu9r5E43kMlt9f8,"6,220",31
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018-03-09,51rXHuKN8Loc4sUlKPODgH,"6,162",32
HUMBLE.,Kendrick Lamar,2018-03-09,7KXjTSCq5nL1LoYtL7XAwS,"5,994",33
No Roots,Alice Merton,2018-03-09,7anBA0IdgFaN3Pbyk2tog0,"5,902",34
שמישהו יעצור אותי,Eden Hason,2018-03-09,3PcBjhdSmzxWilw6ok3XFV,"5,840",35
SAD!,XXXTENTACION,2018-03-09,35ieKju5aLWFN5UgfJ27mL,"5,635",36
Or,Eliad,2018-03-09,0iM8yfncvUnO3T1NWBceNy,"5,622",37
Shape of You,Ed Sheeran,2018-03-09,7qiZfU4dY1lWllzX7mPBI3,"5,338",38
Sick Boy,The Chainsmokers,2018-03-09,2IKZkwHI5zsZf70STuhvOX,"5,203",39
אתי,Dikla,2018-03-09,6q3lIXS1BNXS6W0lmmyIYH,"5,114",40
Wolves,"Selena Gomez, Marshmello",2018-03-09,7EmGUiUaOSGDnUUQUDrOXC,"5,053",41
Stir Fry,Migos,2018-03-09,2UVbBKQOdFAekPTRsnkzcf,"4,504",42
More Than You Know,Axwell /\ Ingrosso,2018-03-09,71bBFbfn2OBK5QwUJSLS44,"4,486",43
Dura,Daddy Yankee,2018-03-09,2j2fIJGh4PMdXt9ULI5Tlc,"4,477",44
Heaven,Julia Michaels,2018-03-09,4QfNOZN7vrQCQKK1ZJ3XPb,"4,377",45
Take Me to Church,Hozier,2018-03-09,3KYOGt8IO6j8wptkG9THag,"4,342",46
At Ba'a Elay,Nathan Goshen,2018-03-09,0X5o7suzG2s6BMjxVRW8bP,"4,311",47
Breathe,"Jax Jones, Ina Wroldsen",2018-03-09,6tvQzeCPwOytDlBYCIOY0n,"4,297",48
Namaste,Static & Ben El,2018-03-09,0cRHmj8gMA9TFDKwbspHvx,"4,293",49
סוף השבוע,Eliad,2018-03-09,6oob3rTLJS5xEs9ata5jWi,"4,131",50
Two High,Moon Taxi,2018-03-09,5huOzlgCK7PsMSG4TFBvKY,"3,967",51
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2018-03-09,1bhUWB0zJMIKr9yVPrkEuI,"3,917",52
What Lovers Do (feat. SZA),Maroon 5,2018-03-09,3hBBKuWJfxlIlnd9QFoC8k,"3,886",53
Ric Flair Drip (& Metro Boomin),Offset,2018-03-09,7sO5G9EABYOXQKNPNiE9NR,"3,875",54
44 More,Logic,2018-03-09,3e7Y6sfFlIdBMJhX7wpqVO,"3,867",55
Evening Buffalo,Felix Snow,2018-03-09,6w40GgWhGts8g6779DPXR3,"3,799",56
Let You Down,NF,2018-03-09,6mrKP2jyIQmM0rw6fQryjr,"3,796",57
לשוב הביתה,Ishay Ribo,2018-03-09,52n4gF126eIllrGuc9Zus6,"3,791",58
Toy,Netta,2018-03-09,7vuTcvFnvlqWlWb4u60nvY,"3,757",59
Mad Love,"Sean Paul, David Guetta, Becky G",2018-03-09,3soOPBuMK8YMdWnV7xpEyf,"3,754",60
