Song,Artist,Date,Song ID,Streams,Rank
Look What You Made Me Do,Taylor Swift,2017-08-25,6uFsE1JgZ20EXyU0JQZbUR,"152,766",1
Shape of You,Ed Sheeran,2017-08-25,7qiZfU4dY1lWllzX7mPBI3,"146,292",2
打上花火,"DAOKO, Kenshi Yonezu",2017-08-25,7pcTLUekZJQnzDOUDuExVJ,"144,454",3
Friends (with BloodPop®),Justin Bieber,2017-08-25,7nZmah2llfvLDiUjm0kiyz,"110,832",4
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-08-25,5CtI0qwDJkDQGwXD1H1cLb,"105,296",5
2U (feat. Justin Bieber),David Guetta,2017-08-25,3A7qX2QjDlPnazUsRk5y0M,"88,424",6
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017-08-25,3DXncPQOG4VBw3QHh3S817,"86,246",7
Mama,"Jonas Blue, William Singe",2017-08-25,0NiXXAI876aGImAd6rTj8w,"86,066",8
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Funk Wav",2017-08-25,5bcTCxgc7xVfSaMV3RuVke,"85,868",9
Without You (feat. Sandro Cavazza),Avicii,2017-08-25,6WbADFqMvR8N5u0BvtsWQE,"84,193",10
New Rules,Dua Lipa,2017-08-25,2ekn2ttSfGqwhhate0LSR0,"82,126",11
TT - Japanese ver.,TWICE,2017-08-25,0PAyiPTz8gL0udQnSasc5G,"77,196",12
Sorry Not Sorry,Demi Lovato,2017-08-25,25C5CowdsfXld2jJanbiex,"75,193",13
Attention,Charlie Puth,2017-08-25,4iLqG9SeJSnt0cSPICSjxv,"73,394",14
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017-08-25,1OAh8uOEOvTDqkKFsKksCi,"71,660",15
Something Just Like This,"The Chainsmokers, Coldplay",2017-08-25,6RUKPb4LETWmmr3iAEQktW,"70,552",16
Mi Gente,"J Balvin, Willy William",2017-08-25,2rb5MvYT7ZIxbKW5hfcHx8,"70,507",17
Unforgettable,"French Montana, Swae Lee",2017-08-25,3B54sVLJ402zGa6Xm4YGNe,"70,289",18
There's Nothing Holdin' Me Back,Shawn Mendes,2017-08-25,79cuOz3SPQTuFrp8WgftAu,"70,222",19
Your Song,Rita Ora,2017-08-25,4c2W3VKsOFoIg2SFaO6DY5,"69,528",20
Stay (with Alessia Cara),Zedd,2017-08-25,0dA2Mk56wEzDgegdC6R17g,"65,537",21
Havana,"Camila Cabello, Young Thug",2017-08-25,0ofbQMrRDsUaVKq2mGLEAb,"65,184",22
My Boo,Shota Shimizu,2017-08-25,2gasr6aemUqZIBBN05EO03,"63,347",23
More Than You Know,Axwell /\ Ingrosso,2017-08-25,3PEgB3fkiojxms35ntsTgs,"62,988",24
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,2017-08-25,7F9vK8hNFMml4GtHsaXui6,"62,025",25
Strip That Down,"Liam Payne, Quavo",2017-08-25,6EpRaXYhGOB3fj4V2uDkMJ,"61,264",26
Lonely Together (feat. Rita Ora),Avicii,2017-08-25,2OALaHcDdKkjYEpAr0Qzab,"60,639",27
I Like Me Better,Lauv,2017-08-25,1wjzFQodRWrPcQ0AnYnvQ9,"57,957",28
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,2017-08-25,1NDxZ7cFAo481dtYWdrUnR,"57,473",29
Wherever you are,ONE OK ROCK,2017-08-25,0YAMQSmHk6BSUGTYpaoqTJ,"56,970",30
Closer,"The Chainsmokers, Halsey",2017-08-25,7BKLCZ1jbUBVqRi2FVlTVw,"56,235",31
RAIN,SEKAI NO OWARI,2017-08-25,0aFUi8kAIUcLEaM6LylNui,"55,746",32
Silence,"Marshmello, Khalid",2017-08-25,7vGuf3Y35N4wmASOKLUVVU,"54,423",33
Symphony (feat. Zara Larsson),Clean Bandit,2017-08-25,1x5sYLZiu9r5E43kMlt9f8,"53,693",34
Fetish (feat. Gucci Mane),Selena Gomez,2017-08-25,0XLOf9LhyazPX9Ld8jPiUq,"52,819",35
TT,TWICE,2017-08-25,1nMbZ9OsVNSLEyijI80EST,"50,439",36
Glorious (feat. Skylar Grey),Macklemore,2017-08-25,3HVr6jTVwBHBa2flM0eURR,"50,322",37
There for You,"Martin Garrix, Troye Sivan",2017-08-25,6jA8HL9i4QGzsj6fjoxp8Y,"49,775",38
恋音と雨空,AAA,2017-08-25,46gSY0U7ZZCmd7EuJuo15N,"49,711",39
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-08-25,6kex4EBAj0WHXDKZMEJaaF,"49,579",40
What Do You Mean?,Justin Bieber,2017-08-25,3pzjHKrQSvXGHQ98dx18HI,"49,342",41
DREAM,Shota Shimizu,2017-08-25,6PO8T4qt3FHfauSs98zO9j,"49,284",42
That's What I Like,Bruno Mars,2017-08-25,0KKkJNfGyhkQ5aFogxQAPU,"49,151",43
SIGNAL - Japanese ver.,TWICE,2017-08-25,4R7QVSqBN0koJHcOL7PGb5,"48,412",44
Down,"Fifth Harmony, Gucci Mane",2017-08-25,20H2Hd5AkUcRjB4yL3UQtJ,"47,317",45
Get Low (with Liam Payne),Zedd,2017-08-25,1CKd1PnqfYx0H12V9MSaIY,"45,710",46
Thunder,Imagine Dragons,2017-08-25,0tKcYR2II1VCQWT79i5NrW,"45,199",47
SORA,GENERATIONS from EXILE TRIBE,2017-08-25,3Xrd2febrBti5pNuRTVmra,"44,544",48
Rich Love (with Seeb),OneRepublic,2017-08-25,7aF09WaavZAmAWuUeYxlYD,"44,477",49
XO Tour Llif3,Lil Uzi Vert,2017-08-25,7GX5flRQZVHRAGd6B4TmDO,"43,178",50
Most Girls,Hailee Steinfeld,2017-08-25,2mfUa8bLs2s5N4VaqJZ4lZ,"41,669",51
No Promises (feat. Demi Lovato),Cheat Codes,2017-08-25,1louJpMmzEicAn7lzDalPW,"38,845",52
DECIDED (album ver.),UVERworld,2017-08-25,4Rby6ujcqaaZIav9LQ2u67,"37,062",53
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-08-25,4aWmUDTfIPGksMNLV2rQP2,"36,275",54
