Song,Artist,Date,Song ID,Streams,Rank
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"2,464,795",1
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"2,247,725",2
Vente Pa' Ca (feat. Maluma),Ricky Martin,2017-01-06,7DM4BPaS7uofFul3ywMe46,"1,765,814",3
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-06,6rQSrBHf7HlZjtcMZ4S4bO,"1,713,022",4
Otra vez (feat. J Balvin),Zion & Lennox,2017-01-06,3QwBODjSEzelZyVjxPOHdq,"1,672,457",5
Traicionera,Sebastian Yatra,2017-01-06,5J1c3M4EldCfNxXwrwt8mT,"1,476,040",6
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"1,365,760",7
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"1,302,453",8
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"1,284,853",9
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",2017-01-06,6stYbAJgTszHAHZMPxWWCY,"1,261,349",10
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"1,238,896",11
La Bicicleta,"Carlos Vives, Shakira",2017-01-06,0sXvAOmXgjR2QUqLK1MltU,"1,214,283",12
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"1,190,580",13
Me llamas (feat. Maluma) - Remix,Piso 21,2017-01-06,5hEM0JchdVzQ5PwvSfITeX,"1,179,874",14
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"1,169,803",15
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"1,156,458",16
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"1,110,250",17
Dile Que Tu Me Quieres,Ozuna,2017-01-06,20ZAJdsKB5IGbGj4ilRt2o,"1,050,868",18
Shaky Shaky,Daddy Yankee,2017-01-06,58IL315gMSTD37DOZPJ2hf,"993,331",19
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"940,702",20
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2017-01-06,0JoHqmlqE0W0i9prt6kcHR,"935,208",21
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"928,222",22
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"922,673",23
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"921,280",24
Leve,Cartel De Santa,2017-01-06,48yFrzTcnTCklWL9PRVZJj,"874,122",25
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"863,395",26
Quiero Que Vuelvas,Alejandro Fernández,2017-01-06,2Zw7rSucHm0MIph9gmNiSn,"858,945",27
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"841,625",28
Vacaciones,Wisin,2017-01-06,3dQDid3IUNhZy1OehIfYfE,"832,502",29
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"831,632",30
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"815,061",31
Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",2017-01-06,5mey7CLLuFToM2P68Qu1gF,"810,691",32
Adiós Amor,Christian Nodal,2017-01-06,3OQXAp3uGQvkPi4DAMaM5p,"806,830",33
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"805,345",34
Borro Cassette,Maluma,2017-01-06,6DUdDIRgLqCGq1DwkNWQTN,"801,778",35
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"800,946",36
Chillax (feat. Ky-Mani Marley),Farruko,2017-01-06,1lxswgIpzV6HhENRvkflES,"780,948",37
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"729,746",38
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"700,610",39
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"700,288",40
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"697,360",41
Llegaste tú (feat. Reykon),Sofia Reyes,2017-01-06,79Bm3DTEYuQsDpUVHbSRsL,"689,345",42
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"677,806",43
Fuego,Juanes,2017-01-06,0mwPE0lPOgnWf2bo14xedJ,"672,558",44
Dueles,Jesse & Joy,2017-01-06,1iRvhKiXRElIH2Uf4gd95P,"666,893",45
Qué Gano Olvidándote,Reik,2017-01-06,7iXRsjttPa62GpOcqsx1aE,"659,501",46
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"655,323",47
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"595,352",48
Desde Esa Noche (feat. Maluma),Thalia,2017-01-06,1pWYnQIlqxTh5bxuPmTG4E,"591,998",49
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"587,984",50
Brillas,León Larregui,2017-01-06,6VuUMo1TusnqBxLTnr3hOI,"586,229",51
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"577,227",52
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2017-01-06,6YZdkObH88npeKrrkb8Ggf,"574,316",53
Mi tesoro (feat. Nicky Jam),Zion & Lennox,2017-01-06,5HABnFSYvl6mTmg8nSdzHa,"560,421",54
Bobo,J Balvin,2017-01-06,7AtlMCIauSQZqiXSlbBPW6,"521,714",55
Middle,"DJ Snake, Bipolar Sunshine",2017-01-06,4OZEu0Vwq0RB2LAq14v99n,"497,831",56
Locos,León Larregui,2017-01-06,3GSMdtJphymHEsR8K9jT5Q,"497,110",57
Tengo Que Colgar,Banda MS de Sergio Lizárraga,2017-01-06,2yGNkkwU2iT0doFxkxhcXH,"488,644",58
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"480,654",59
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"480,514",60
Ride,Twenty One Pilots,2017-01-06,2Z8WuEywRWYTKe1NybPQEW,"478,374",61
Stressed Out,Twenty One Pilots,2017-01-06,3CRDbSIZ4r5MsZ0YwxuEkn,"475,350",62
Me Quema,Paulina Rubio,2017-01-06,5k5HXMmbU31I6cMOWnMgSQ,"462,349",63
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"449,120",64
El Perdedor,Maluma,2017-01-06,1iEwyiSLAunPR6uouANE0O,"446,183",65
Thinking out Loud,Ed Sheeran,2017-01-06,1Slwb6dOYkBlWal1PGtnNg,"441,418",66
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"432,878",67
Hasta el Amanecer,Nicky Jam,2017-01-06,5Fim1gaXBgsiFfsQAfQSDS,"430,557",68
Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",2017-01-06,1AkTW13ysu0AJrwuM6UY0I,"428,498",69
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",2017-01-06,2FrnTVSHjgnEylKGdHRUK1,"422,931",70
Cocoon,Milky Chance,2017-01-06,0L87MffumRNWrY2SNUFcvs,"422,258",71
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"419,250",72
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2017-01-06,2SSYqDX8KTgy01NlqtUo0F,"412,480",73
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"409,711",74
Ya Me Enteré,Reik,2017-01-06,0lPXFrKyl8HkdQ2E6NmNja,"409,284",75
Me Vas a Extrañar,Banda MS de Sergio Lizárraga,2017-01-06,2yS8aYWXEWJ1NlZ7VPDroT,"404,227",76
Culpable Tu,Alta Consigna,2017-01-06,4eOUnn9bKgUVx6fsbFhuZO,"400,187",77
Siempre Te Voy A Querer,Calibre 50,2017-01-06,3VK8copXwqvAueMPhnBe6K,"395,354",78
Tu Falta De Querer,Mon Laferte,2017-01-06,4skuEIloXWuxxgekKupkEH,"395,157",79
Faded,Alan Walker,2017-01-06,7gHs73wELdeycvS48JfIos,"394,616",80
Sin Contrato (feat. Fifth Harmony),Maluma,2017-01-06,09S64DUkxIX9EwIaULu6yN,"393,905",81
Setting Fires,"The Chainsmokers, XYLØ",2017-01-06,0B8B8cVRFIG1yznoQe7c9s,"393,586",82
Te Metiste,Ariel Camacho y Los Plebes Del Rancho,2017-01-06,0nNTCEOzFlBTlDCx5IfLWP,"390,557",83
Cómo Te Atreves,Morat,2017-01-06,2z0EshEO4XptiepEb9j3Og,"382,328",84
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"374,946",85
Deja Que Te Bese,"Alejandro Sanz, Marc Anthony",2017-01-06,0s6yB0ZFl1LvYHAnGhXFga,"369,318",86
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2017-01-06,0tICYNayWWhH9GPeFrfjfD,"368,023",87
Love Yourself,Justin Bieber,2017-01-06,3hB5DgAiMAQ4DzYbsMq1IT,"361,255",88
Afuera Está Lloviendo,Julión Álvarez y su Norteño Banda,2017-01-06,6vVlJvDUGiF2w6XxJtDZUC,"360,804",89
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"357,716",90
¿Por Que Me Enamoré?,Ulices Chaidez,2017-01-06,18J1Ke20aBiyK0nv9gnjez,"352,964",91
La Gozadera (feat. Marc Anthony),Gente De Zona,2017-01-06,0OMRAvrtLWE2TvcXorRiB9,"348,339",92
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",2017-01-06,3BY2mafsbsoKGqS380Xnuz,"347,120",93
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"345,632",94
Cake By The Ocean,DNCE,2017-01-06,2aFiaMXmWsM3Vj72F9ksBl,"345,180",95
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2017-01-06,0L7loeTIg6akW84aEQZpCT,"342,368",96
Solo Con Verte,Banda MS de Sergio Lizárraga,2017-01-06,5z4O1H0vFY0Nh4ZMtfgapP,"339,988",97
Hasta la Raíz,Natalia Lafourcade,2017-01-06,3lGMtkONrZdJ8kTCg6KIFf,"338,410",98
Mucha Marihuana,Cartel De Santa,2017-01-06,1pKuoNmq0282BNd7NRSJ9M,"335,817",99
Regresa Hermosa,Gerardo Ortiz,2017-01-06,6SRg6MfhnXxXwxtufnCGuV,"322,106",100
Que Lo Nuestro Se Quede Nuestro,Carlos Rivera,2017-01-06,3rtxFFGZ10e2vYBo7PsPf2,"317,657",101
Sorry,Justin Bieber,2017-01-06,69bp2EbF7Q2rqc5N3ylezZ,"317,565",102
El chisme,Reykon,2017-01-06,4VXejnj5WgM6H72ct2fSgQ,"316,455",103
Cool Girl,Tove Lo,2017-01-06,5dKyZWlgjWw1oJgLa4GCZD,"315,495",104
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"315,486",105
Traicionera - Remix,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",2017-01-06,2webQDZmtGioeu3zUUi9We,"314,210",106
No Lo Hice Bien,Los Plebes del Rancho de Ariel Camacho,2017-01-06,211mktDmIq7g2Q4gBTXphj,"313,243",107
Lean On (feat. MØ & DJ Snake),Major Lazer,2017-01-06,4WjH9Bzt3kx7z8kl0awxh4,"309,659",108
Te Deseo Lo Mejor,Alta Consigna,2017-01-06,7ETBp75Sc6ZT6XHVN783aq,"308,256",109
Caminar de Tu Mano,"Río Roma, Fonseca",2017-01-06,7cCRlUf8ayOJtTlWN7g8Ni,"307,040",110
Te Dirán,La Adictiva Banda San José de Mesillas,2017-01-06,1PB6yA6o4CuJZUcVQ8UWh8,"306,110",111
Ruleta Rusa,Kevin Roldan,2017-01-06,77KHmKnBmVGTjRCeMVXpWH,"301,672",112
"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto, Mambo Kingz, DJ Luian",2017-01-06,498YWgZPJWIA4lphXtCNma,"301,360",113
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"301,276",114
Pumped Up Kicks,Foster The People,2017-01-06,7w87IxuO7BDcJ3YUqCyMTT,"296,115",115
Amor Del Bueno,Calibre 50,2017-01-06,6CmFzaTvg7lRSAWwHmBDfj,"294,393",116
Si Te Vienen a Contar,Cartel De Santa,2017-01-06,4058DPUoC7sLPQ05pr3e4C,"288,774",117
Quién Te Entiende,Crecer German,2017-01-06,0VYFakqQG8p6yHrqq9TAoY,"286,795",118
Ginza,J Balvin,2017-01-06,5N8nNuTmIzkZOfcxXlygUw,"283,939",119
El Perdón,"Nicky Jam, Enrique Iglesias",2017-01-06,7qCAVkHWZkF44OzOUKf8Cr,"277,274",120
