Song,Artist,Date,Song ID,Streams,Rank
Dalida,Soolking,2018-11-16,7vSQVx20cqaYOVAVJwj00p,"11,636",1
Vroom vroom,Soolking,2018-11-16,6Y4h3C3S6J1l3mlH4IgcZk,"9,641",2
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-11-16,4w8niZpiMy6qz1mntFA5uM,"8,587",3
Guerilla,Soolking,2018-11-16,7EAtJk0HzXQp2gpFeaaLzF,"8,562",4
"thank u, next",Ariana Grande,2018-11-16,2rPE9A1vEgShuZxxzR2tZH,"8,390",5
Rockstar,Soolking,2018-11-16,5W3DfkKaK3aXBI4A447ilC,"8,019",6
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2018-11-16,2LskIZrCeLxRvCiGP8gxlh,"7,118",7
Piccola,ElGrandeToto,2018-11-16,3HzhBAjueYFCK7UvJww0mU,"6,990",8
Amsterdam,Soolking,2018-11-16,2vJaVa1ZxKLoVZ4GmWgv2q,"6,876",9
Without Me,Halsey,2018-11-16,5p7ujcrUXASCNwRaWNHR1C,"6,754",10
Cosa Nostra,"Soolking, Sofiane, Lacrim",2018-11-16,1HHsp5kLecAVxBtx0EStsT,"6,663",11
MIA (feat. Drake),Bad Bunny,2018-11-16,116H0KvKr2Zl4RPuVBruDO,"6,517",12
SICKO MODE,Travis Scott,2018-11-16,2xLMifQCjDGFmkHkpNLD9h,"6,266",13
Bambina,Soolking,2018-11-16,66Fgxzk70xUTp3kIZDIFSf,"6,119",14
Fruit de la zone - Bonus Track,"Soolking, Jul",2018-11-16,5rFBTatsGB4zKI1xg5hReV,"5,858",15
Bouheli,Balti,2018-11-16,2kUT8dTjyum9wGfikCBmMA,"5,658",16
Tata,Soolking,2018-11-16,1UYY7AvG6Q5tFjFBQ40wrf,"5,478",17
Mirage,"Soolking, Khaled",2018-11-16,4i3lAgB6rzx7KcFiJcE7Rh,"5,416",18
دكابوطابل,Zouhair Bahaoui,2018-11-16,2F82KnRqMRq0zDi4uBVSlm,"5,282",19
Slay (feat. ElGrandeToto),Manal,2018-11-16,6aAclXBj0CK4EKkk0bU5Ra,"5,209",20
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-11-16,7l3E7lcozEodtVsSTCkcaA,"5,176",21
Moonlight,XXXTENTACION,2018-11-16,0JP9xo3adEtGSdUEISiszL,"5,085",22
Soso,Lbenj,2018-11-16,4FXYnFJaE2QesJ6BYNN7CL,"4,972",23
BAD!,XXXTENTACION,2018-11-16,4CH66Rxcjcj3VBHwmIBj4T,"4,756",24
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-11-16,1A6OTy97kk0mMdm78rHsm8,"4,756",25
Yema,"7liwa, Balti",2018-11-16,7MEPp6ACqymKQL16ynLsxH,"4,429",26
Choukran,7ari,2018-11-16,1enHUv9ixGD38Tw2lmPxZU,"4,426",27
SAD!,XXXTENTACION,2018-11-16,3ee8Jmje8o58CHK66QrVC2,"4,396",28
Chopin,ElGrandeToto,2018-11-16,5c8l7YT1h5vJKD854bshmz,"4,366",29
Amoureux tombé,"Lbenj, Mounim Slimani, DJ Med",2018-11-16,6QtiomH85pdqfZGI159sQl,"4,326",30
Déjà-vu,ElGrandeToto,2018-11-16,5kt9JjtJcxPjpJf1K6cEt2,"4,297",31
when the party's over,Billie Eilish,2018-11-16,14JzyD6FlBD5z0wV5P07YI,"4,285",32
Youv,Soolking,2018-11-16,14jIz8q95uJrXUbKG2sNaW,"4,272",33
Nodawanod,"ElGrandeToto, West, Spleux",2018-11-16,2mpUGsF4tLjSbtDWKqWH5D,"4,151",34
Happier,"Marshmello, Bastille",2018-11-16,2dpaYNEQHiRxtZbfNsse99,"4,143",35
Better,Khalid,2018-11-16,6zeeWid2sgw4lap2jV61PZ,"4,138",36
Waste It On Me (feat. BTS),Steve Aoki,2018-11-16,2J0X46UkpfLlWbuCXFgDLr,"3,980",37
Picanto,ElGrandeToto,2018-11-16,1XBuxnmRHSqCncov3EADvk,"3,920",38
Pablo,ElGrandeToto,2018-11-16,6myPGcRsuSC2k7llCkRdad,"3,865",39
HLM,Soolking,2018-11-16,47auqvp9h69USlh9FkCuwM,"3,824",40
Ruin My Life,Zara Larsson,2018-11-16,5tAa8Uaqr4VvA3693mbIhU,"3,751",41
Mama,Muslim,2018-11-16,3Sza4oAVIgpyqM8NOygc3Y,"3,697",42
Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-11-16,13hvHEstJ4sNbzdroPrPI3,"3,693",43
Lucid Dreams,Juice WRLD,2018-11-16,0s3nnoMeVWz3989MkNQiRf,"3,631",44
I Love It (& Lil Pump),Kanye West,2018-11-16,4S8d14HvHb70ImctNgVzQQ,"3,546",45
La cité,"ElGrandeToto, AM La Scampia",2018-11-16,0KEw4SqbtMPfsfUR0sACPT,"3,524",46
Rdlbal,"Dizzy DROS, Komy",2018-11-16,03ecxwpqENcZvzeZVotKHL,"3,484",47
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-16,222B3aljXx6fFwKmFjuBED,"3,442",48
Milano,Soolking,2018-11-16,21SKXioSYekcFCgZGV2Rd1,"3,403",49
Chica,Soolking,2018-11-16,2n53rW60andtirdmbYkyz9,"3,369",50
Guerilla - Remix - Bonus Track,"Soolking, Sofiane, GIMS",2018-11-16,4LRPmQbJBuXMPXgrnqhdkr,"3,360",51
No Stylist (feat. Drake),French Montana,2018-11-16,04MLEeAMuV9IlHEsD8vF6A,"3,333",52
Lucky You (feat. Joyner Lucas),Eminem,2018-11-16,60SdxE8apGAxMiRrpbmLY0,"3,303",53
Gucci,Soolking,2018-11-16,5rY5vvYRrvhq8aQ7zZDOGM,"3,266",54
Marina,ElGrandeToto,2018-11-16,4XqDPkGatGjM8yzS9CZmVJ,"3,250",55
Jaloux,Dadju,2018-11-16,0QnEGWGECQUPuE3m8L6hdT,"3,227",56
Happy Now,"Kygo, Sandro Cavazza",2018-11-16,14sOS5L36385FJ3OL8hew4,"3,168",57
Ohlala,ElGrandeToto,2018-11-16,3UkRo7TGCDM1Qax2mTFcHd,"3,130",58
7elmetado 2,ElGrandeToto,2018-11-16,5N8htWcwGU84nFmGvyKLdw,"3,043",59
Sweet but Psycho,Ava Max,2018-11-16,25sgk305KZfyuqVBQIahim,"3,031",60
rockstar (feat. 21 Savage),Post Malone,2018-11-16,0e7ipj03S05BNilyu5bRzt,"3,031",61
Paradise,Soolking,2018-11-16,5sniwGMMAPeoyWcOJIuTao,"2,997",62
Rêves bizarres (feat. Damso),Orelsan,2018-11-16,7lhuM9WUqdThw72dCBRmQW,"2,981",63
Bad Liar,Imagine Dragons,2018-11-16,2RSHsoi04658QL5xgQVov3,"2,921",64
Shallow,"Lady Gaga, Bradley Cooper",2018-11-16,2VxeLyX666F8uXCJ0dZF8B,"2,920",65
Mo Bamba,Sheck Wes,2018-11-16,1xzBco0xcoJEDXktl7Jxrr,"2,876",66
Amar,Douzi,2018-11-16,44VyvABcrOHUXzEJVR33N6,"2,864",67
Leila - Bonus Track,Soolking,2018-11-16,0c7oe5vGtG788TwID2CXK7,"2,842",68
In My Feelings,Drake,2018-11-16,2G7V7zsVDxg1yRsu7Ew9RJ,"2,782",69
Money,Cardi B,2018-11-16,2GGMabyHXnJmjY6CXhhB2e,"2,777",70
Girls Like You (feat. Cardi B),Maroon 5,2018-11-16,7fa9MBXhVfQ8P8Df9OEbD8,"2,645",71
Nonstop,Drake,2018-11-16,0TlLq3lA83rQOYtrqBqSct,"2,640",72
Eastside (with Halsey & Khalid),benny blanco,2018-11-16,0d2iYfpKoM0QCKvcLCkBao,"2,626",73
Havana (feat. Young Thug),Camila Cabello,2018-11-16,1rfofaqEpACxVEHIZBJe6W,"2,618",74
lovely (with Khalid),Billie Eilish,2018-11-16,0u2P5u6lvoDfwTYjAADbn4,"2,613",75
SWISH,Tyga,2018-11-16,55GiOwtxNajXVbpjjIzMnD,"2,595",76
On t'a dit,"Naza, KeBlack",2018-11-16,4cLUMQU9692pF1UUY6B0Po,"2,571",77
Copines,Aya Nakamura,2018-11-16,1Bhm5HNO1cq8olDbBmokyL,"2,522",78
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2018-11-16,2E124GmJRnBJuXbTb4cPUB,"2,503",79
Ey Ey Ey,Madd,2018-11-16,6zG3TxXj2WoLIxHgaj9g7f,"2,494",80
Prêt à partir (feat. Ninho),SCH,2018-11-16,0ZKi6Khl1E9EoOQadSXN5m,"2,489",81
Say My Name,"David Guetta, Bebe Rexha, J Balvin",2018-11-16,0YammaEkYSeo9vQYZ1OwS6,"2,483",82
Madrina,"Maes, Booba",2018-11-16,6cKj3bzvVrOQtPfGhcKlRt,"2,416",83
