Song,Artist,Date,Song ID,Streams,Rank
Blinding Lights,The Weeknd,2020-07-10,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,"23,844",1
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-07-10,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,"22,197",2
Come & Go (with Marshmello),Juice WRLD,2020-07-10,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr,"18,849",3
Cadillac,"MORGENSHTERN, Eldzhey",2020-07-10,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv,"15,849",4
How You Like That,BLACKPINK,2020-07-10,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,"13,418",5
Watermelon Sugar,Harry Styles,2020-07-10,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,"12,884",6
Wishing Well,Juice WRLD,2020-07-10,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb,"12,664",7
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07-10,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,"12,121",8
Roses - Imanbek Remix,SAINt JHN,2020-07-10,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,"9,653",9
Stay Gold,BTS,2020-07-10,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,"9,624",10
Breaking Me,"Topic, A7S",2020-07-10,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,"9,572",11
Your eyes tell,BTS,2020-07-10,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,"8,739",12
Toosie Slide,Drake,2020-07-10,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"8,734",13
Дежавю,kizaru,2020-07-10,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,"8,684",14
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-07-10,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,"8,649",15
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2020-07-10,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec,"8,231",16
ily (i love you baby) (feat. Emilee),Surf Mesa,2020-07-10,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"8,094",17
Rain On Me (with Ariana Grande),Lady Gaga,2020-07-10,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,"8,073",18
