Song,Artist,Date,Song ID,Streams,Rank
Người Hãy Quên 'em Đi,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/6XJsQ5nqCu8RUv9pv1iz1x,"76,916",1
Ngày Mai Em Đi,"Lê Hiếu, Soobin Hoang Son, Touliver",2018-03-09,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5,"44,016",2
The Middle,"Zedd, Maren Morris, Grey",2018-03-09,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m,"30,780",3
FRIENDS,"Marshmello, Anne-Marie",2018-03-09,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,"30,364",4
,,2018-03-09,https://open.spotify.com/track/2me5SocGcxPzFwPe03my19,"27,241",5
Đâu Chỉ Riêng 'em,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/3cdPeiCDiGLGngdRdgB01Q,"27,021",6
All Falls Down (feat. Juliander),"Alan Walker, Noah Cyrus, Digital Farm Animals",2018-03-09,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,"26,569",7
Chắc Anh Đang,"Tien Tien, Trang",2018-03-09,https://open.spotify.com/track/1MErPCAzRBqnDzsrdFxcbB,"26,029",8
Y.E.U (L.O.V.E) [Edm Version],MIN,2018-03-09,https://open.spotify.com/track/0yofHdFXozkLelQzMgkao4,"25,116",9
Havana (feat. Young Thug),Camila Cabello,2018-03-09,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,"23,822",10
Đừng Hỏi 'em,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/0mecMCPM6Szdr74FQCkIXo,"23,223",11
IDGAF,Dua Lipa,2018-03-09,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,"22,732",12
,,2018-03-09,https://open.spotify.com/track/3BaMpfFx9wCAz1eOoDgJdm,"20,803",13
Muộn Màng Là Từ Lúc,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/249fiLJ8fFXYLL4NNjjgXT,"20,780",14
All The Stars (with SZA),Kendrick Lamar,2018-03-09,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,"20,437",15
Gửi Người Yêu Cũ,Hồ Ngọc Hà,2018-03-09,https://open.spotify.com/track/5xqanki714S5lfCrhBnfGX,"20,101",16
God's Plan,Drake,2018-03-09,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,"19,557",17
Giac Mo Co That,Lệ Quyên,2018-03-09,https://open.spotify.com/track/3zDMUqo3OlHypgseQr0zsl,"19,336",18
Tìm Lại Bầu Trời,Tuấn Hưng,2018-03-09,https://open.spotify.com/track/7s7tnNQDgYutWEPaeanT58,"19,146",19
LOVE SCENARIO,iKON,2018-03-09,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k,"18,838",20
So Far Away (feat. Jamie Scott & Romy Dya),"Martin Garrix, David Guetta",2018-03-09,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,"18,716",21
Wolves,"Selena Gomez, Marshmello",2018-03-09,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,"18,271",22
,,2018-03-09,https://open.spotify.com/track/1l83as8Stl45f1OkiXZi8v,"17,844",23
Love Lies (with Normani),Khalid,2018-03-09,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,"17,010",24
Psycho (feat. Ty Dolla $ign),Post Malone,2018-03-09,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF,"16,793",25
Like I Do,"David Guetta, Martin Garrix, Brooks",2018-03-09,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ,"16,625",26
Rewrite The Stars,"Zac Efron, Zendaya",2018-03-09,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,"15,977",27
,,2018-03-09,https://open.spotify.com/track/4cz6qkluxG6mdp7vsTHtqm,"15,516",28
FLOWER ROAD,BIGBANG,2018-03-09,https://open.spotify.com/track/37DVuXUPIFPsYBmr6hBoxA,"15,239",29
Perfect,Ed Sheeran,2018-03-09,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,"15,059",30
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-03-09,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,"14,864",31
Cô Ấy Là Ai,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/0a3xKTdoRhkWC5zSWZ7nYf,"14,814",32
,,2018-03-09,https://open.spotify.com/track/0vatkYYyTAq7PSTP1EkIEV,"14,807",33
Nếu Có Buông Tay,Mỹ Tâm,2018-03-09,https://open.spotify.com/track/22wpxXRD3JTy7l6G1GHk3X,"14,695",34
