Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"848,601",1
Mä hiihdän,Antti Tuisku,2017-01-06,4OdVWcLwTqgFQJNAMLaur9,"549,678",2
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"492,690",3
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"489,913",4
Hukutaan,Arttu Lindeman,2017-01-06,0i8qXP5jTcu3dPfwZrboV3,"430,765",5
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"407,341",6
Loistat Pimeäs,Mikael Gabriel,2017-01-06,3bCuspxImskpiHF3udYdFI,"392,686",7
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"338,056",8
Sinuhe,"Profeetat, Cheek, Elastinen",2017-01-06,1muAf2i6NwO1O7MMEr0A8O,"328,902",9
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"306,337",10
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"293,936",11
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2017-01-06,40UroIGvsMPLPBYwH8rMNA,"286,015",12
Rakas,Haloo Helsinki!,2017-01-06,0O2nxouygWlAVxHZPw3YCW,"273,077",13
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"270,786",14
Pisamat,Nikke Ankara,2017-01-06,7g5M2rzDUPoFv4JAZAyJR7,"267,739",15
Tuesday,"Burak Yeter, Danelle Sandoval",2017-01-06,7abpmGpF7PGep2rDU68GBR,"267,038",16
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"253,315",17
Mist sä tuutPt. 2,JVG,2017-01-06,0oY8xK12tJkYAskQXXQsgj,"247,531",18
Enemmän kuin valmis,Aste,2017-01-06,66D7modSrY1bCdbgIDDOvf,"238,054",19
Routine,"Alan Walker, David Whistle",2017-01-06,19TSNGmvdTtlxYn4YqYUMf,"231,005",20
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"229,152",21
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"226,623",22
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"225,378",23
Move Your Body - Alan Walker Remix,Sia,2017-01-06,6LUOMjoORvAkdhBYvESO46,"214,101",24
Saturnus,"Brädi, Illi",2017-01-06,3nenYQpz28iHiuS1loQ4Xz,"212,360",25
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"211,274",26
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"205,203",27
Kohta sataa,Pete Parkkonen,2017-01-06,4EuXGaOmNNPOSpfvfST5b8,"201,742",28
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"199,383",29
Lujaa (feat. Pete Parkkonen),TIPPA,2017-01-06,5Edm7dgoK4dkWF7IyeMZaZ,"195,274",30
