Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"1,094,653",1
Mauvaise graine,Nekfeu,2017-01-06,4kKJ5CjwCtksszPMntho4N,"684,720",2
Afro Trap Pt. 7 (La puissance),MHD,2017-01-06,6x8j5V85ZJHtvOSjSamcVc,"651,835",3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"633,484",4
Squa,Nekfeu,2017-01-06,11hj8c8BCRd5ND3CRhZSvt,"633,382",5
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"582,986",6
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"556,300",7
Tchoin,Kaaris,2017-01-06,0ban5QRXUveaKtQPGuaoQ9,"553,975",8
Saturne,"Nekfeu, Sneazzy, S.Pri Noir",2017-01-06,5t9fmZx0pcNxLykKTv6eOe,"542,313",9
Sunset Lover,Petit Biscuit,2017-01-06,0hNduWmlWmEmuwEFcYvRu1,"513,350",10
Onizuka,PNL,2017-01-06,4GCIYE1x1TWJCChPkpy9by,"499,048",11
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"491,564",12
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"476,721",13
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"468,477",14
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"461,489",15
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"458,007",16
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"453,819",17
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"441,844",18
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"435,569",19
DKR,Booba,2017-01-06,1iDQ2zCOU1uYeR8QcpqUZb,"434,776",20
Bazardée,KeBlack,2017-01-06,2KiHXiqQA2dHiLfeSxtTeP,"424,380",21
Infréquentables,"Dosseh, Booba",2017-01-06,63z6p4gpgnpZprANkpBIHH,"415,918",22
6.45i,SCH,2017-01-06,0myHuhA1FkppaClYHRoxX0,"411,147",23
Pop Corn,Boostee,2017-01-06,6FK7DCwcQWWWG9VAT6ZGvz,"405,374",24
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"402,637",25
Naha,PNL,2017-01-06,0lkQfsTMmtDA37tjjew9n0,"402,552",26
Je m'en vais,Vianney,2017-01-06,2Vd1vVQaBilW0O6nmU5BkH,"402,169",27
Daniel Sam,Booba,2017-01-06,40vg7dPaClJHMf4KkvxVQK,"396,314",28
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"384,436",29
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"383,774",30
Réalité augmentée,Nekfeu,2017-01-06,5jGuAvPX3Ufo55DIZlCaHq,"380,890",31
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"379,197",32
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"373,426",33
Tchikita,Jul,2017-01-06,6bXd0YhKLCTvlLVc4tErH9,"372,175",34
Aloha,"Møme, Merryn Jeann",2017-01-06,6HViP4DVYa8gQtxLndmhwu,"365,701",35
Lordly (feat. Alex Aiono),Feder,2017-01-06,6c12fBpCtuVIq8OFxT0A3S,"362,922",36
Humanoïde,Nekfeu,2017-01-06,6YHNKVx7gSsOX7xq6jaqeq,"361,153",37
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"341,685",38
Tout donner - Pilule violette,GIMS,2017-01-06,5ASacvNO76BB7Dxtp74qqz,"338,689",39
Ride,Twenty One Pilots,2017-01-06,2Z8WuEywRWYTKe1NybPQEW,"334,389",40
Blow,Kaaris,2017-01-06,5GhWx7Hzju2oRyhVY6k9QH,"330,590",41
On m'appelle l'ovni,Jul,2017-01-06,5cbyl4wFM4UYnQGoA0dcAk,"328,583",42
Galatée,Nekfeu,2017-01-06,5kkqEHDSAU5S4TgKQN1l9d,"326,637",43
Avant tu riais,"Nekfeu, Clara Luciani",2017-01-06,6AHgVddvpK6wQpifbtInW1,"324,842",44
Heal Tomorrow,"Naive New Beaters, Izïa",2017-01-06,4J6xvZhJh26lmAEAXGDCKu,"320,547",45
The Ocean (feat. Shy Martin),Mike Perry,2017-01-06,2CPqh63wRVscbceKcPxwvv,"319,661",46
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"316,855",47
Oblah,"Gradur, MHD, Alonzo, Nyda",2017-01-06,0sqOIwjQoaiEXcSgl8iqsi,"314,571",48
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"313,663",49
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"310,850",50
Bené,PNL,2017-01-06,00X2yv2vrtritPt2CZnUTZ,"307,354",51
Dans la légende,PNL,2017-01-06,5NZpY9WeWFtlHVgepfCamX,"306,685",52
Esquimaux,"Nekfeu, Nepal",2017-01-06,2gcZZpnrxbShZPLKiNUVga,"300,300",53
Sex,"Cheat Codes, Kris Kross Amsterdam",2017-01-06,5DA77EqppDmCTWGovd4oTP,"298,089",54
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"295,045",55
"i hate u, i love u (feat. olivia o'brien)",gnash,2017-01-06,7vRriwrloYVaoAe3a9wJHe,"295,034",56
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"285,448",57
Lush Life,Zara Larsson,2017-01-06,1rIKgCH4H52lrvDcz50hS8,"280,025",58
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"279,640",59
Poussière,Kaaris,2017-01-06,4RhPtvcQqowlT2HSc00LxY,"275,687",60
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"268,917",61
Elle et l'autre,Jul,2017-01-06,783vFwxaUzpGYAOEcGok9w,"262,582",62
Le regard des gens,"Nekfeu, Nemir, 2zer, Mekra, Doums",2017-01-06,0xH4qR6s5TqdzMKRkloBnh,"259,352",63
Nekketsu,"Nekfeu, Crystal Kay",2017-01-06,6J4VvZ3pIit9KgFtUDniwm,"257,040",64
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"256,563",65
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"252,814",66
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"252,227",67
DA,PNL,2017-01-06,5UOGzIMvxXyRZIWBbqDcpU,"250,281",68
Dis-moi que tu m'aimes,Ninho,2017-01-06,0u6HzAVFUBiKslzPF9G9vd,"243,484",69
Ain't Your Mama,Jennifer Lopez,2017-01-06,2hgzdQdnfWwtdpZbhZlV72,"240,547",70
Halcyon Birds,Broken Back,2017-01-06,1WC2ctyzNjpgkhF0dplias,"240,153",71
Final Song,MØ,2017-01-06,4qqArAiTPueDxIp7cf87h7,"237,812",72
Hymn for the Weekend - Seeb Remix,Coldplay,2017-01-06,1OAiWI2oPmglaOiv9fdioU,"236,189",73
Cellophané,Rim'K,2017-01-06,2sOrroHqKbYFP2MfHxhQMc,"234,786",74
Silver,"Fakear, Rae Morris",2017-01-06,3BMcY4M9KsjoQk3FiNU7Er,"234,598",75
Hundred Miles,"Yall, Gabriela Richardson",2017-01-06,5dyDkXi1bnQKSyIdO0JXp8,"228,419",76
Andale (feat. Gradur),Sadek,2017-01-06,3zLMWD22TUiKZ3L6FPjiCL,"227,779",77
Fast Car,"Jonas Blue, Dakota",2017-01-06,6OZh916QF8XNunWaP97WEZ,"224,114",78
Nador,Kaaris,2017-01-06,4jgTc6njkNCMonjSUBz89V,"223,925",79
Mon Everest (feat. Marina Kaye),Soprano,2017-01-06,6iwkDhmdFfXu9RpjXrgFhz,"223,742",80
Capsize,"FRENSHIP, Emily Warren",2017-01-06,2XMTqoHHSH0lvuXrvIEdco,"222,531",81
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"222,087",82
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"220,672",83
Tuesday,"Burak Yeter, Danelle Sandoval",2017-01-06,7abpmGpF7PGep2rDU68GBR,"220,616",84
Ophelia,The Lumineers,2017-01-06,7bTwYGhBdSQ8vuXc76Xint,"217,276",85
O.D,"Nekfeu, Murkage Dave",2017-01-06,1ka8yYr5OnUrh0k59d7Gfd,"216,435",86
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"211,875",87
Commando,Niska,2017-01-06,0a5ClTPUJK0hYyXH0emy63,"210,736",88
Jusqu'au dernier gramme,PNL,2017-01-06,2jBleFNl3YK8lyJc1OvxXt,"206,778",89
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"205,477",90
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"205,300",91
Besoin de sens,"Nekfeu, Framal, Jazzy Bazz",2017-01-06,1hVEHazr1EDumcrGlEU5XF,"204,459",92
