Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"3,021,918",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"2,233,757",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"1,794,072",3
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"1,643,288",4
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"1,576,903",5
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"1,405,089",6
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"1,375,058",7
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"1,348,411",8
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"1,343,523",9
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"1,264,473",10
Chöre,Mark Forster,2017-01-06,2nYpbaLykC2cjU8Yt5KF1v,"1,240,125",11
Ohne mein Team,"Bonez MC, RAF Camora, Maxwell",2017-01-06,05Mp2UJulSttxQ4E6hQPH3,"1,236,154",12
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"1,226,698",13
Bad Ideas,Alle Farben,2017-01-06,76gwG061wqdatYhicO2hG4,"1,170,385",14
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"1,159,923",15
No Lie,"Sean Paul, Dua Lipa",2017-01-06,3cFsmM51N5zMAuu1nNY4Tw,"1,137,425",16
iPhone 17 (feat. Moé),KC Rebell,2017-01-06,6rwCkGBh7CV6pcdxZKbcsG,"1,052,039",17
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"1,050,414",18
An ihnen vorbei,"Bonez MC, RAF Camora",2017-01-06,7istTRCq9OK5cEC8sPAc50,"1,042,520",19
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"1,020,431",20
Lot to Learn,Luke Christopher,2017-01-06,3TRFq09DUgYj1mug6RRqJW,"1,012,359",21
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"994,376",22
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"982,720",23
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"935,596",24
