Song,Artist,Date,Song ID,Streams,Rank
7 rings,Ariana Grande,2019-02-22,6ocbgoVGwYJhOv1GgI9NsF,"71,486",1
Shallow,"Lady Gaga, Bradley Cooper",2019-02-22,2VxeLyX666F8uXCJ0dZF8B,"67,267",2
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-02-22,7dbka99KTWke5o9hRp0JoB,"65,006",3
"break up with your girlfriend, i'm bored",Ariana Grande,2019-02-22,4kV4N9D1iKVxx1KLvtTpjS,"62,512",4
Con Calma,"Daddy Yankee, Snow",2019-02-22,5w9c2J52mkdntKOmRLeM2m,"59,178",5
Wow.,Post Malone,2019-02-22,6MWtB6iiXyIwun0YzU6DFP,"54,174",6
Talk,"Khalid, Disclosure",2019-02-22,0rTV5WefWd1J3OwIheTzxM,"53,779",7
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob",2019-02-22,2tjWCe2W7sgvS3C8NHcdtI,"47,549",8
i'm so tired...,"Lauv, Troye Sivan",2019-02-22,7COXchtUOMd6uIT6HvmRaI,"46,823",9
Don't Call Me Up,Mabel,2019-02-22,5WHTFyqSii0lmT9R21abT8,"46,267",10
Dancing With A Stranger (with Normani),Sam Smith,2019-02-22,6Qs4SXO9dwPj5GKvVOv8Ki,"44,080",11
Without Me,Halsey,2019-02-22,5p7ujcrUXASCNwRaWNHR1C,"43,764",12
bury a friend,Billie Eilish,2019-02-22,4NzMOnvSJVNKF7nw5NkXIP,"41,816",13
Apna Time Aayega,"Ranveer Singh, Dub Sharma, DIVINE",2019-02-22,5uaIbU3oHHcSOK6WFNK5nj,"41,592",14
BIBA,"Marshmello, Pritam",2019-02-22,0GVBPuCT3pBrXCdY3Uiy5B,"37,911",15
No Sleep (feat. Bonn),Martin Garrix,2019-02-22,1ahVFh0ViDZr8LvkEVlq3B,"35,855",16
Happier,"Marshmello, Bastille",2019-02-22,2dpaYNEQHiRxtZbfNsse99,"35,115",17
Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",2019-02-22,11cDEev79fPKi6uJCjUhu8,"34,325",18
Aankh Marey,"Neha Kakkar, Mika Singh, Kumar Sanu",2019-02-22,2UE5pVmMGjfD5XUQTpYpD6,"32,044",19
She Move It Like,Badshah,2019-02-22,39vrbjCMTRXEdiIr2IsBgd,"31,631",20
MIDDLE CHILD,J. Cole,2019-02-22,2JvzF1RMd7lE3KmFlsyZD8,"28,370",21
