Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"1,051,142",1
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"759,626",2
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"715,171",3
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"504,232",4
Assenzio (feat. Stash & Levante),"J-AX, Fedez",2017-01-06,0DRKnh0BloxJHyhXkfbiX8,"478,975",5
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"465,659",6
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"465,585",7
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"451,514",8
Tutto Molto Interessante,Fabio Rovazzi,2017-01-06,5lyTvBqxtjyPray48fCWgj,"436,884",9
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"410,620",10
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"398,142",11
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"364,741",12
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"362,744",13
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"351,248",14
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"343,252",15
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"340,681",16
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"336,193",17
Ulisse,lowlow,2017-01-06,0QvhWAa8Xxia8Efct2rv7x,"329,075",18
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"326,804",19
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"310,675",20
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"306,550",21
