Song,Artist,Date,Song ID,Streams,Rank
God's Plan,Drake,2018-03-09,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,"27,626",1
Psycho (feat. Ty Dolla $ign),Post Malone,2018-03-09,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF,"22,487",2
FRIENDS,"Marshmello, Anne-Marie",2018-03-09,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,"20,059",3
Love Lies (with Normani),Khalid,2018-03-09,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,"18,552",4
Look Alive (feat. Drake),BlocBoy JB,2018-03-09,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,"18,317",5
All The Stars (with SZA),Kendrick Lamar,2018-03-09,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,"16,867",6
rockstar,"Post Malone, 21 Savage",2018-03-09,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX,"16,596",7
The Middle,"Zedd, Maren Morris, Grey",2018-03-09,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m,"15,577",8
IDGAF,Dua Lipa,2018-03-09,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,"14,838",9
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-03-09,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,"14,600",10
Like I Do,"David Guetta, Martin Garrix, Brooks",2018-03-09,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ,"12,329",11
Mine,Bazzi,2018-03-09,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,"11,819",12
Pray For Me (with Kendrick Lamar),The Weeknd,2018-03-09,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x,"11,697",13
Everyday,"Logic, Marshmello",2018-03-09,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk,"11,668",14
SAD!,XXXTENTACION,2018-03-09,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL,"11,410",15
Stir Fry,Migos,2018-03-09,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf,"8,846",16
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018-03-09,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH,"8,253",17
Ric Flair Drip (& Metro Boomin),Offset,2018-03-09,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,"7,190",18
Heaven,Julia Michaels,2018-03-09,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb,"7,150",19
So Far Away (feat. Jamie Scott & Romy Dya),"Martin Garrix, David Guetta",2018-03-09,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,"7,088",20
Havana (feat. Young Thug),Camila Cabello,2018-03-09,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,"7,073",21
River (feat. Ed Sheeran),Eminem,2018-03-09,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,"7,019",22
Never Be the Same,Camila Cabello,2018-03-09,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,"7,018",23
Mad Love,"Sean Paul, David Guetta, Becky G",2018-03-09,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf,"6,490",24
Sick Boy,The Chainsmokers,2018-03-09,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX,"6,287",25
I Fall Apart,Post Malone,2018-03-09,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,"6,184",26
44 More,Logic,2018-03-09,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO,"6,046",27
New Rules,Dua Lipa,2018-03-09,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,"5,852",28
Wolves,"Selena Gomez, Marshmello",2018-03-09,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,"5,833",29
Breathe,"Jax Jones, Ina Wroldsen",2018-03-09,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n,"5,805",30
Sanctify,Years & Years,2018-03-09,https://open.spotify.com/track/7gbpozqwdFoqvv19BTk2hu,"5,717",31
Let You Down,NF,2018-03-09,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,"5,619",32
Finesse - Remix; feat. Cardi B,Bruno Mars,2018-03-09,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,"5,612",33
Thunder,Imagine Dragons,2018-03-09,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn,"5,597",34
Dura,Daddy Yankee,2018-03-09,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc,"5,591",35
Feel It Still,Portugal. The Man,2018-03-09,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,"5,550",36
Contra,Logic,2018-03-09,https://open.spotify.com/track/7u90MSvVyEjL0c8icaE7jl,"5,479",37
Narcos,Migos,2018-03-09,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK,"5,457",38
XO Tour Llif3,Lil Uzi Vert,2018-03-09,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,"5,329",39
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2018-03-09,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,"5,264",40
X,"Nicky Jam, J Balvin",2018-03-09,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,"5,191",41
HUMBLE.,Kendrick Lamar,2018-03-09,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,"5,038",42
Him & I (with Halsey),G-Eazy,2018-03-09,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,"5,030",43
Silence,"Marshmello, Khalid",2018-03-09,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,"4,956",44
Bank Account,21 Savage,2018-03-09,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,"4,872",45
Shape of You,Ed Sheeran,2018-03-09,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,"4,795",46
She Loves Control,Camila Cabello,2018-03-09,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy,"4,768",47
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,2018-03-09,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM,"4,687",48
I Miss You (feat. Julia Michaels),Clean Bandit,2018-03-09,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,"4,617",49
Say Something (feat. Chris Stapleton),Justin Timberlake,2018-03-09,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS,"4,614",50
Congratulations,"Post Malone, Quavo",2018-03-09,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,"4,599",51
Nevermind,Dennis Lloyd,2018-03-09,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,"4,571",52
Mask Off,Future,2018-03-09,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,"4,547",53
'Till I Collapse,"Eminem, Nate Dogg",2018-03-09,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,"4,530",54
Capital Letters,"Hailee Steinfeld, BloodPop®",2018-03-09,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO,"4,487",55
No Limit,"G-Eazy, A$AP Rocky, Cardi B",2018-03-09,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,"4,473",56
Perfect,Ed Sheeran,2018-03-09,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,"4,416",57
Wait,Maroon 5,2018-03-09,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59,"4,407",58
Only One,Carlie Hanson,2018-03-09,https://open.spotify.com/track/3HMzCcVRL5fHNF0Uv73LFV,"4,358",59
1950,King Princess,2018-03-09,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA,"4,197",60
66,"Lil Yachty, Trippie Redd",2018-03-09,https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR,"4,145",61
You Owe Me,The Chainsmokers,2018-03-09,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel,"4,121",62
Plug Walk,Rich The Kid,2018-03-09,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl,"4,046",63
For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,2018-03-09,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC,"4,022",64
New Freezer (feat. Kendrick Lamar),Rich The Kid,2018-03-09,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA,"3,993",65
More Than You Know,Axwell /\ Ingrosso,2018-03-09,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44,"3,924",66
