Song,Artist,Date,Song ID,Streams,Rank
Blinding Lights,The Weeknd,2020-07-10,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,"101,873",1
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-07-10,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,"99,727",2
Cadillac,"MORGENSHTERN, Eldzhey",2020-07-10,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv,"92,518",3
Your eyes tell,BTS,2020-07-10,https://open.spotify.com/track/3TZ7NHkMT82AhwuYsd00Hz,"78,414",4
How You Like That,BLACKPINK,2020-07-10,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,"77,552",5
Come & Go (with Marshmello),Juice WRLD,2020-07-10,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr,"74,667",6
Stay Gold,BTS,2020-07-10,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,"59,941",7
Wishing Well,Juice WRLD,2020-07-10,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb,"53,672",8
Watermelon Sugar,Harry Styles,2020-07-10,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,"53,086",9
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07-10,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,"51,149",10
Дежавю,kizaru,2020-07-10,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B,"50,386",11
Toosie Slide,Drake,2020-07-10,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"45,102",12
Friendly Fire - Prod. Avepack,Boulevard Depo,2020-07-10,https://open.spotify.com/track/5rsylaCMgQ5q5IjrZBGm8q,"44,413",13
Москва любит...,Scriptonite,2020-07-10,https://open.spotify.com/track/41bGn6u78I8eNZg86tx3vp,"41,842",14
Rain On Me (with Ariana Grande),Lady Gaga,2020-07-10,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,"39,633",15
Roses - Imanbek Remix,SAINt JHN,2020-07-10,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,"39,223",16
Life's A Mess (feat. Halsey),Juice WRLD,2020-07-10,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd,"38,541",17
Break My Heart,Dua Lipa,2020-07-10,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,"38,110",18
Колхозник,Mnogoznaal,2020-07-10,https://open.spotify.com/track/19guFw87TvSkoxnC9EBu2Y,"37,194",19
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-07-10,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,"35,264",20
X.O,"The Limba, Andro",2020-07-10,https://open.spotify.com/track/6o92Z50qYohU4Q03xbMneu,"35,247",21
Breaking Me,"Topic, A7S",2020-07-10,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,"34,664",22
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2020-07-10,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec,"34,112",23
Daechwita,Agust D,2020-07-10,https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5,"33,619",24
God’s Menu,Stray Kids,2020-07-10,https://open.spotify.com/track/0RzT9tBLcQhofW2TNiHP9B,"32,970",25
Gimme The Loot,Big Baby Tape,2020-07-10,https://open.spotify.com/track/5NlUfFPL2z3RWAXy8NcRs8,"32,725",26
Blueberry Faygo,Lil Mosey,2020-07-10,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,"31,729",27
Сияй,Ramil',2020-07-10,https://open.spotify.com/track/5ct1HcejSSMlu6vCyWGNXM,"31,553",28
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2020-07-10,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,"31,196",29
Малый повзрослел,Max Korzh,2020-07-10,https://open.spotify.com/track/14JceK2UBLd0UUm23N5lRy,"30,912",30
Trap Luv,Big Baby Tape,2020-07-10,https://open.spotify.com/track/15epnOVXX9PRB7A6z3YtZV,"30,835",31
Положение,Scriptonite,2020-07-10,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo,"29,919",32
Honey's Kettle,"kizaru, HoodRich Pablo Juan",2020-07-10,https://open.spotify.com/track/4U18T8waKsJDbQaOdINByr,"29,878",33
ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,2020-07-10,https://open.spotify.com/track/571md1FedFYFaYUMUktYaF,"28,801",34
2 типа людей,Max Korzh,2020-07-10,https://open.spotify.com/track/5kz9d0Cxx7RK8PjRLlWnAt,"28,633",35
ON,BTS,2020-07-10,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF,"28,558",36
Краш,"Klava Koka, NILETTO",2020-07-10,https://open.spotify.com/track/02mPTM1usfKo8tsTGEJuuk,"27,045",37
death bed (coffee for your head),"Powfu, beabadoobee",2020-07-10,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,"26,940",38
Мультибрендовый,"Scriptonite, 104, T-Fest, Niman",2020-07-10,https://open.spotify.com/track/2b5Fq8pe5UI6pYRGMv0wNn,"26,587",39
РАТАТАТАТА,"MORGENSHTERN, Vitya AK",2020-07-10,https://open.spotify.com/track/0eou4g499YFO8jSxYQjvFH,"26,552",40
Smile,Katy Perry,2020-07-10,https://open.spotify.com/track/3DXdjHnePKnh6oXw2ZgGSl,"26,497",41
MONEY LONG,kizaru,2020-07-10,https://open.spotify.com/track/0OukVtUSfeSV8Mr7otfyMZ,"26,276",42
Шантаж,Max Korzh,2020-07-10,https://open.spotify.com/track/4BzDIOl9JXFhjglnAxvUCz,"25,937",43
Новый Мерин,MORGENSHTERN,2020-07-10,https://open.spotify.com/track/272fe0z4cll7gJM3G8HFA8,"25,899",44
Проснулся В Темноте,GONE.Fludd,2020-07-10,https://open.spotify.com/track/1qtmO3AkZ2OBrPaxnaKnS6,"25,644",45
Don't Start Now,Dua Lipa,2020-07-10,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,"25,476",46
Ламбада,"T-Fest, Scriptonite",2020-07-10,https://open.spotify.com/track/7FuvJwX4VDPE0bAIq9tfbP,"25,463",47
Надежда,FACE,2020-07-10,https://open.spotify.com/track/3aK0rnYRvQPGV1W49NGWum,"25,416",48
Conversations,Juice WRLD,2020-07-10,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P,"25,306",49
Boy With Luv (feat. Halsey),BTS,2020-07-10,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,"25,290",50
Dance Monkey,Tones And I,2020-07-10,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,"25,142",51
Lights,BTS,2020-07-10,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1,"25,131",52
Плачу на техно,"Cream Soda, HLEB",2020-07-10,https://open.spotify.com/track/5jKFnadawzHXGWiLBeboas,"25,107",53
SICKO MODE,Travis Scott,2020-07-10,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,"25,077",54
Righteous,Juice WRLD,2020-07-10,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J,"24,518",55
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",2020-07-10,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,"24,435",56
Maria,Hwa Sa,2020-07-10,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh,"24,344",57
Falling,Trevor Daniel,2020-07-10,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,"24,016",58
bad guy,Billie Eilish,2020-07-10,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,"24,007",59
Серпантин,Markul,2020-07-10,https://open.spotify.com/track/0XSxhXEd9Ery8eXsfuHt1u,"23,974",60
HIGHEST IN THE ROOM,Travis Scott,2020-07-10,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,"23,675",61
Малолетка,Max Korzh,2020-07-10,https://open.spotify.com/track/06jEcxzahUi9GdN5RFsqO4,"23,612",62
The Box,Roddy Ricch,2020-07-10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,"23,237",63
Filter,BTS,2020-07-10,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu,"23,208",64
Angry toy$ - Prod. Ray Qwa,Boulevard Depo,2020-07-10,https://open.spotify.com/track/7aeleTqgkiIZLitnXp9NMl,"23,185",65
МОЙ КАЛАШНИКОВ,FACE,2020-07-10,https://open.spotify.com/track/1KWRf0ZISGMBgwMMCUYVDr,"23,071",66
In Your Eyes,The Weeknd,2020-07-10,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,"23,066",67
Малиновый закат,Max Korzh,2020-07-10,https://open.spotify.com/track/2fP2RBX81C55kEBaHZHomY,"22,986",68
ВТОРНИК,GONE.Fludd,2020-07-10,https://open.spotify.com/track/0yJF3zE5pxzNoK9kZl5Ru2,"22,780",69
Гостиница Космос,Mnogoznaal,2020-07-10,https://open.spotify.com/track/2qFbvcFsaL7Fgk7o2X4Drf,"22,612",70
goosebumps,Travis Scott,2020-07-10,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,"22,471",71
Конфеты,"Markul, Платина",2020-07-10,https://open.spotify.com/track/2Lwy5x78uQLpndcCXBVnxw,"22,466",72
Be Kind (with Halsey),Marshmello,2020-07-10,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,"22,465",73
Дорадура,дора,2020-07-10,https://open.spotify.com/track/4mTPviBGRgjPxeaQFnBDW3,"22,433",74
Без ключа,PHARAOH,2020-07-10,https://open.spotify.com/track/3AqhKp7RpfGBsmtulKpQfD,"22,270",75
Рашан моуст уонтэд,kizaru,2020-07-10,https://open.spotify.com/track/4w98f7dBwMsNAcVlLaL9GU,"22,176",76
OUTRO : The Journey,BTS,2020-07-10,https://open.spotify.com/track/0VF357Gjay5vvCqWA1kSu6,"22,157",77
INTRO : Calling,BTS,2020-07-10,https://open.spotify.com/track/5raJ9QoZOdoRZ1MZOcygkR,"22,113",78
ily (i love you baby) (feat. Emilee),Surf Mesa,2020-07-10,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"22,073",79
Choco,HLEB,2020-07-10,https://open.spotify.com/track/4d1ib2A9wmfGOT3zPn8FFw,"22,005",80
Fata Morgana,"Markul, Oxxxymiron",2020-07-10,https://open.spotify.com/track/6heHgVgFclP45j1LX5vmtd,"21,817",81
Цепи,"Scriptonite, 104",2020-07-10,https://open.spotify.com/track/2z8QxqQ6Kesq4NFfi7A638,"21,768",82
Monster,Red Velvet - IRENE & SEULGI,2020-07-10,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK,"21,453",83
Boy With Luv - Japanese ver.,BTS,2020-07-10,https://open.spotify.com/track/1GAAUZBTaIM1LwNpOJQJrZ,"21,321",84
Грустная Песня (feat. Егор Крид & MORGENSHTERN),"THRILL PILL, Egor Kreed",2020-07-10,https://open.spotify.com/track/50ijEQSR94O6eJgf0GbWuP,"21,231",85
Kosandra,Miyagi & Andy Panda,2020-07-10,https://open.spotify.com/track/4CeBKWWLXMrQMFsP0Q0K3V,"21,113",86
2 минуты,Markul,2020-07-10,https://open.spotify.com/track/4VCeADBqj7tNKIPwjjIM4K,"21,073",87
August,Intelligency,2020-07-10,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII,"20,976",88
Антигерой,Mnogoznaal,2020-07-10,https://open.spotify.com/track/5dtOmL3MyRZMKKQsAo2oTp,"20,923",89
ДЕВОЧКА С КАРЕ,MUKKA,2020-07-10,https://open.spotify.com/track/4QOagjqRQure499CuWJqqg,"20,833",90
Yung Hefner,MORGENSHTERN,2020-07-10,https://open.spotify.com/track/2OHtlG0qUAHhy9YLfDEo0K,"20,757",91
Монетка,LSP,2020-07-10,https://open.spotify.com/track/6x4VxcplTRX4tZDNnpXS2Z,"20,712",92
