Song,Artist,Date,Song ID,Streams,Rank
"thank u, next",Ariana Grande,2018-11-09,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,"5,879",1
Without Me,Halsey,2018-11-09,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,"5,484",2
Waste It On Me (feat. BTS),Steve Aoki,2018-11-09,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,"5,017",3
Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-11-09,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,"3,374",4
Bad Liar,Imagine Dragons,2018-11-09,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,"3,041",5
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2018-11-09,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,"2,913",6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-11-09,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,"2,872",7
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-11-09,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,"2,850",8
BAD!,XXXTENTACION,2018-11-09,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T,"2,694",9
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-09,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,"2,281",10
Better,Khalid,2018-11-09,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,"2,218",11
Sweet but Psycho,Ava Max,2018-11-09,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,"2,192",12
when the party's over,Billie Eilish,2018-11-09,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,"2,098",13
Ruin My Life,Zara Larsson,2018-11-09,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,"2,060",14
breathin,Ariana Grande,2018-11-09,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,"2,023",15
SICKO MODE,Travis Scott,2018-11-09,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,"2,009",16
IDOL,"BTS, Nicki Minaj",2018-11-09,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx,"1,908",17
IDOL,BTS,2018-11-09,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS,"1,768",18
FAKE LOVE,BTS,2018-11-09,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,"1,733",19
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-11-09,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,"1,695",20
Happy Now,"Kygo, Sandro Cavazza",2018-11-09,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,"1,683",21
MIA (feat. Drake),Bad Bunny,2018-11-09,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,"1,657",22
Happier,"Marshmello, Bastille",2018-11-09,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,"1,652",23
Euphoria,BTS,2018-11-09,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0,"1,550",24
Eastside (with Halsey & Khalid),benny blanco,2018-11-09,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,"1,511",25
عايش سعيد,Abdul Majeed Abdullah,2018-11-09,https://open.spotify.com/track/1BukPVirhX35uqwgkoGCBF,"1,460",26
Waed Menni,Rahma Riad,2018-11-09,https://open.spotify.com/track/3dcwxdRMi8nSODD4r5dKsb,"1,455",27
SAD!,XXXTENTACION,2018-11-09,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,"1,424",28
POP/STARS,"K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends",2018-11-09,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,"1,410",29
Natural,Imagine Dragons,2018-11-09,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,"1,361",30
Be Alright,Dean Lewis,2018-11-09,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,"1,330",31
Moonlight,XXXTENTACION,2018-11-09,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,"1,323",32
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2018-11-09,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,"1,315",33
Havana (feat. Young Thug),Camila Cabello,2018-11-09,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,"1,292",34
IDGAF,Dua Lipa,2018-11-09,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,"1,272",35
New Rules,Dua Lipa,2018-11-09,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,"1,256",36
rockstar (feat. 21 Savage),Post Malone,2018-11-09,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,"1,254",37
Shallow,"Lady Gaga, Bradley Cooper",2018-11-09,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,"1,208",38
God is a woman,Ariana Grande,2018-11-09,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,"1,196",39
Let You Love Me,Rita Ora,2018-11-09,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,"1,171",40
lovely (with Khalid),Billie Eilish,2018-11-09,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,"1,129",41
Blood Sweat & Tears,BTS,2018-11-09,https://open.spotify.com/track/5RGf8qn1TBWVplLyyKUsuV,"1,095",42
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2018-11-09,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,"1,079",43
Girls Like You (feat. Cardi B),Maroon 5,2018-11-09,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,"1,073",44
YES or YES,TWICE,2018-11-09,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP,"1,059",45
Lucky You (feat. Joyner Lucas),Eminem,2018-11-09,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,"1,056",46
Mo Bamba,Sheck Wes,2018-11-09,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,"1,048",47
Believer,Imagine Dragons,2018-11-09,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,"1,032",48
tokyo,RM,2018-11-09,https://open.spotify.com/track/4dF0mDPTlpjThf1mJyK83B,"1,018",49
forever rain,RM,2018-11-09,https://open.spotify.com/track/5fCDWDX2Kv9jc1s7nZfzOi,"1,012",50
moonchild,RM,2018-11-09,https://open.spotify.com/track/5Zlo5ZYjrr6DwQw1kBi5bA,"1,011",51
Lucid Dreams,Juice WRLD,2018-11-09,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,"1,009",52
Intro: Singularity,BTS,2018-11-09,https://open.spotify.com/track/6ePyl2ns4b7MVYhjsj32ZK,"1,003",53
Without Me,Halsey,2018-11-16,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,"18,185",1
"thank u, next",Ariana Grande,2018-11-16,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,"14,993",2
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-11-16,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,"10,574",3
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2018-11-16,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,"10,330",4
Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-11-16,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,"9,895",5
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-11-16,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,"8,578",6
Better,Khalid,2018-11-16,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,"8,536",7
Waste It On Me (feat. BTS),Steve Aoki,2018-11-16,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,"8,378",8
Bad Liar,Imagine Dragons,2018-11-16,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,"8,353",9
Ruin My Life,Zara Larsson,2018-11-16,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,"8,301",10
BAD!,XXXTENTACION,2018-11-16,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T,"8,270",11
Sweet but Psycho,Ava Max,2018-11-16,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,"7,896",12
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-16,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,"7,689",13
when the party's over,Billie Eilish,2018-11-16,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,"7,543",14
Happy Now,"Kygo, Sandro Cavazza",2018-11-16,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,"6,888",15
SICKO MODE,Travis Scott,2018-11-16,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,"6,887",16
SOLO,JENNIE,2018-11-16,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,"6,692",17
breathin,Ariana Grande,2018-11-16,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,"6,523",18
Waed Menni,Rahma Riad,2018-11-16,https://open.spotify.com/track/3dcwxdRMi8nSODD4r5dKsb,"6,334",19
Happier,"Marshmello, Bastille",2018-11-16,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,"5,994",20
