Song,Artist,Date,Song ID,Streams,Rank
God's Plan,Drake,2018-03-09,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,"10,313",1
Psycho (feat. Ty Dolla $ign),Post Malone,2018-03-09,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF,"6,588",2
rockstar,"Post Malone, 21 Savage",2018-03-09,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX,"5,738",3
All The Stars (with SZA),Kendrick Lamar,2018-03-09,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,"5,585",4
Love Lies (with Normani),Khalid,2018-03-09,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,"5,535",5
Look Alive (feat. Drake),BlocBoy JB,2018-03-09,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,"5,502",6
FRIENDS,"Marshmello, Anne-Marie",2018-03-09,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,"5,208",7
The Middle,"Zedd, Maren Morris, Grey",2018-03-09,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m,"4,693",8
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-03-09,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,"4,479",9
IDGAF,Dua Lipa,2018-03-09,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,"4,296",10
SAD!,XXXTENTACION,2018-03-09,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL,"3,647",11
Everyday,"Logic, Marshmello",2018-03-09,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk,"3,491",12
Wolves,"Selena Gomez, Marshmello",2018-03-09,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,"3,300",13
Like I Do,"David Guetta, Martin Garrix, Brooks",2018-03-09,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ,"3,274",14
Pray For Me (with Kendrick Lamar),The Weeknd,2018-03-09,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x,"3,188",15
Let You Down,NF,2018-03-09,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,"3,161",16
River (feat. Ed Sheeran),Eminem,2018-03-09,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,"3,094",17
Mine,Bazzi,2018-03-09,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,"2,920",18
Havana (feat. Young Thug),Camila Cabello,2018-03-09,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,"2,883",19
Never Be the Same,Camila Cabello,2018-03-09,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,"2,800",20
Finesse - Remix; feat. Cardi B,Bruno Mars,2018-03-09,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,"2,585",21
I Fall Apart,Post Malone,2018-03-09,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,"2,462",22
Stir Fry,Migos,2018-03-09,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf,"2,409",23
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2018-03-09,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,"2,353",24
Thunder,Imagine Dragons,2018-03-09,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn,"2,336",25
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018-03-09,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH,"2,298",26
44 More,Logic,2018-03-09,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO,"2,139",27
Perfect,Ed Sheeran,2018-03-09,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,"2,104",28
Sick Boy,The Chainsmokers,2018-03-09,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX,"2,067",29
Ric Flair Drip (& Metro Boomin),Offset,2018-03-09,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,"2,022",30
Contra,Logic,2018-03-09,https://open.spotify.com/track/7u90MSvVyEjL0c8icaE7jl,"1,923",31
Feel It Still,Portugal. The Man,2018-03-09,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,"1,917",32
I Miss You (feat. Julia Michaels),Clean Bandit,2018-03-09,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,"1,885",33
Believer,Imagine Dragons,2018-03-09,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4,"1,861",34
What Lovers Do (feat. SZA),Maroon 5,2018-03-09,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,"1,800",35
Heaven,Julia Michaels,2018-03-09,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb,"1,794",36
"Top Off (feat. JAY Z, Future & Beyoncé)","DJ Khaled, JAY-Z",2018-03-09,https://open.spotify.com/track/1W6wxOOYyJyyok8fqYSZ3m,"1,773",37
