Song,Artist,Date,Song ID,Streams,Rank
"thank u, next",Ariana Grande,2018-11-16,2rPE9A1vEgShuZxxzR2tZH,"17,489",1
Without Me,Halsey,2018-11-16,5p7ujcrUXASCNwRaWNHR1C,"11,657",2
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-11-16,1A6OTy97kk0mMdm78rHsm8,"10,676",3
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-11-16,4w8niZpiMy6qz1mntFA5uM,"10,386",4
Better,Khalid,2018-11-16,6zeeWid2sgw4lap2jV61PZ,"8,774",5
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2018-11-16,2LskIZrCeLxRvCiGP8gxlh,"8,763",6
SICKO MODE,Travis Scott,2018-11-16,2xLMifQCjDGFmkHkpNLD9h,"8,298",7
Happier,"Marshmello, Bastille",2018-11-16,2dpaYNEQHiRxtZbfNsse99,"7,924",8
Kiss and Make Up,"Dua Lipa, BLACKPINK",2018-11-16,13hvHEstJ4sNbzdroPrPI3,"7,284",9
Ruin My Life,Zara Larsson,2018-11-16,5tAa8Uaqr4VvA3693mbIhU,"6,802",10
when the party's over,Billie Eilish,2018-11-16,14JzyD6FlBD5z0wV5P07YI,"6,504",11
BAD!,XXXTENTACION,2018-11-16,4CH66Rxcjcj3VBHwmIBj4T,"6,483",12
Woman Like Me (feat. Nicki Minaj),Little Mix,2018-11-16,222B3aljXx6fFwKmFjuBED,"6,450",13
Eastside (with Halsey & Khalid),benny blanco,2018-11-16,0d2iYfpKoM0QCKvcLCkBao,"6,206",14
MIA (feat. Drake),Bad Bunny,2018-11-16,116H0KvKr2Zl4RPuVBruDO,"5,925",15
Happy Now,"Kygo, Sandro Cavazza",2018-11-16,14sOS5L36385FJ3OL8hew4,"5,914",16
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-11-16,7l3E7lcozEodtVsSTCkcaA,"5,859",17
Girls Like You (feat. Cardi B),Maroon 5,2018-11-16,7fa9MBXhVfQ8P8Df9OEbD8,"5,427",18
Better Now,Post Malone,2018-11-16,7dt6x5M1jzdTEt8oCbisTK,"5,239",19
Bad Liar,Imagine Dragons,2018-11-16,2RSHsoi04658QL5xgQVov3,"5,234",20
breathin,Ariana Grande,2018-11-16,4OafepJy2teCjYJbvFE60J,"4,956",21
Mo Bamba,Sheck Wes,2018-11-16,1xzBco0xcoJEDXktl7Jxrr,"4,907",22
Bohemian Rhapsody - Remastered 2011,Queen,2018-11-16,7tFiyTwD0nx5a1eklYtX2J,"4,798",23
Lucid Dreams,Juice WRLD,2018-11-16,0s3nnoMeVWz3989MkNQiRf,"4,580",24
Sweet but Psycho,Ava Max,2018-11-16,25sgk305KZfyuqVBQIahim,"4,506",25
Let You Love Me,Rita Ora,2018-11-16,6xtcFXSo8H9BZN637BMVKS,"4,418",26
IDGAF,Dua Lipa,2018-11-16,76cy1WJvNGJTj78UqeA5zr,"4,343",27
Waste It On Me (feat. BTS),Steve Aoki,2018-11-16,2J0X46UkpfLlWbuCXFgDLr,"4,334",28
Be Alright,Dean Lewis,2018-11-16,3EPXxR3ImUwfayaurPi3cm,"4,278",29
Beautiful (feat. Camila Cabello),Bazzi,2018-11-16,4VUwkH455At9kENOfzTqmF,"4,272",30
SAD!,XXXTENTACION,2018-11-16,3ee8Jmje8o58CHK66QrVC2,"4,190",31
Shallow,"Lady Gaga, Bradley Cooper",2018-11-16,2VxeLyX666F8uXCJ0dZF8B,"4,122",32
This Feeling (feat. Kelsea Ballerini),The Chainsmokers,2018-11-16,6LKYeyLt4G4SlZ6OJwFhVS,"4,004",33
Moonlight,XXXTENTACION,2018-11-16,0JP9xo3adEtGSdUEISiszL,"3,964",34
